method,reference,delta_macro_auroc,auroc_ci_low,auroc_ci_high,delta_macro_auprc,auprc_ci_low,auprc_ci_high,bootstrap_replicates
Txn_Jatin__completed,Raw_common_measured,-0.017579488322680747,-0.042673532841059236,-0.0011281908191624762,-0.00606760028419806,-0.03331652354321203,0.010964976258157151,100
Txn_Jatin_OSDR_LoRA__completed,Raw_common_measured,-0.003925998686690191,-0.021886653273221972,0.009370799745763145,-0.004692256540005935,-0.026761755612756052,0.006805516221073751,100
BRIDGE__completed,Raw_common_measured,-0.0034264474249438015,-0.01995605117749496,0.00918326598191598,-0.0029381381540733997,-0.016678905523754686,0.0056263048447963825,100
BulkFormer_37M__completed,Raw_common_measured,-0.005568282160539062,-0.02158311300954035,0.009304762496872194,-0.0019695474454693995,-0.014775251771280596,0.008559009472570262,100
BulkFormer_50M__completed,Raw_common_measured,-0.011194627290517678,-0.029908090807663774,0.0065698569705575395,-0.003802495420482499,-0.018139180158765332,0.008563878524210169,100
BulkFormer_93M__completed,Raw_common_measured,-0.011297112092718442,-0.02568315122099469,0.004094747299073057,-0.005129515005679153,-0.018551356561087584,0.005656163489527064,100
BulkFormer_127M__completed,Raw_common_measured,-0.004205895104449908,-0.020404517670560306,0.009605275201118599,-0.0007521823811951212,-0.01450723286070465,0.01153054349384555,100
BulkFormer_147M__completed,Raw_common_measured,-0.008623358905266665,-0.02372170311625388,0.007152579051697737,-0.004161184300104703,-0.01842579140358908,0.006160447011091206,100
