method,scope,cohort,n,responders,auroc,auprc,brier,log_loss
Txn_Jatin_OSDR_LoRA__atlas,cohort,Gide,73,40,0.725,0.7643489976189831,0.3309470161634947,0.88741149500605
Txn_Jatin_OSDR_LoRA__atlas,cohort,Hugo,26,14,0.4821428571428571,0.5275970477377127,0.3748442878580397,1.0283225270199725
Txn_Jatin_OSDR_LoRA__atlas,cohort,Riaz,51,10,0.6634146341463414,0.42187465269508606,0.28491708799325616,0.7688891168540021
Txn_Jatin_OSDR_LoRA__atlas,cohort,Rose,89,16,0.6575342465753424,0.3142957270952222,0.2073437337715345,0.6061069734556094
Txn_Jatin_OSDR_LoRA__completed,cohort,Gide,73,40,0.6931818181818182,0.733360919918366,0.27447363575828454,0.7490311533604077
Txn_Jatin_OSDR_LoRA__completed,cohort,Hugo,26,14,0.5297619047619048,0.6204855608051096,0.3052483102666208,0.8370151294870627
Txn_Jatin_OSDR_LoRA__completed,cohort,Riaz,51,10,0.7,0.396365173028459,0.26069917738758996,0.717500943877609
Txn_Jatin_OSDR_LoRA__completed,cohort,Rose,89,16,0.675513698630137,0.2838588364463628,0.1458160791970002,0.4567365226943681
Txn_Jatin__atlas,cohort,Gide,73,40,0.7265151515151516,0.7648382173395231,0.3308332069917327,0.8870904843140016
Txn_Jatin__atlas,cohort,Hugo,26,14,0.4821428571428571,0.5275970477377127,0.37499778977901127,1.0284987537733608
Txn_Jatin__atlas,cohort,Riaz,51,10,0.6585365853658536,0.4184862798020692,0.28555908895102894,0.7702890259251929
Txn_Jatin__atlas,cohort,Rose,89,16,0.6575342465753425,0.31507971832329235,0.20805257580771974,0.6075993259805741
Txn_Jatin__completed,cohort,Gide,73,40,0.6901515151515151,0.7326957793342064,0.2788460410477223,0.7596003648519963
Txn_Jatin__completed,cohort,Hugo,26,14,0.4999999999999999,0.6026059258202114,0.3088445803546361,0.8446076041869314
Txn_Jatin__completed,cohort,Riaz,51,10,0.6756097560975609,0.4077465437788018,0.2493130449825711,0.6914559563638435
Txn_Jatin__completed,cohort,Rose,89,16,0.6780821917808219,0.28552086628830897,0.14550644184620104,0.4559729332949824
BRIDGE__atlas,pooled,ALL,239,80,0.38404088050314467,0.3054841559001148,0.2849807811287944,0.7848329460623696
BRIDGE__completed,pooled,ALL,239,80,0.633254716981132,0.4129531508072395,0.22649710131464584,0.6422575757644059
BulkFormer_127M__atlas,pooled,ALL,239,80,0.39292452830188673,0.3037332361764619,0.2779627550113957,0.7687192987286114
BulkFormer_127M__completed,pooled,ALL,239,80,0.6348270440251573,0.4154931052212873,0.22585906916022064,0.6402139920108415
BulkFormer_147M__atlas,pooled,ALL,239,80,0.3915880503144654,0.3035857860369766,0.2788452813409896,0.7709236460051441
BulkFormer_147M__completed,pooled,ALL,239,80,0.6294811320754717,0.4104387497802652,0.22741161609976415,0.6440606357857809
BulkFormer_37M__atlas,pooled,ALL,239,80,0.39512578616352206,0.30275709454019833,0.2755823975485086,0.764551443078091
BulkFormer_37M__completed,pooled,ALL,239,80,0.6317610062893082,0.4125793216640337,0.22673289217580367,0.6424174589190985
BulkFormer_50M__atlas,pooled,ALL,239,80,0.3845125786163522,0.3048579126974992,0.2854233919513725,0.7859906833803085
BulkFormer_50M__completed,pooled,ALL,239,80,0.6354559748427673,0.4169865084781025,0.22568426593755989,0.6406649946816979
BulkFormer_93M__atlas,pooled,ALL,239,80,0.39331761006289306,0.3030772441695463,0.2771232990788864,0.7669768619008358
BulkFormer_93M__completed,pooled,ALL,239,80,0.6314465408805031,0.4125424247727172,0.22600213677235165,0.6405039693874542
Raw_common_measured,pooled,ALL,239,80,0.6359276729559747,0.4156977144006233,0.22649707349020465,0.6420515080048884
Txn_Jatin_OSDR_LoRA__atlas,pooled,ALL,239,80,0.38922955974842766,0.3063704934194575,0.27987216509442164,0.77269577587893
Txn_Jatin_OSDR_LoRA__completed,pooled,ALL,239,80,0.6327044025157234,0.41124177587143795,0.22697205260496664,0.6430283105419675
Txn_Jatin__atlas,pooled,ALL,239,80,0.3889150943396226,0.30628144219470776,0.2802550603683695,0.7734713526673029
Txn_Jatin__completed,pooled,ALL,239,80,0.630503144654088,0.4146573108837559,0.22615380210931915,0.6412404568237046
