epoch,train_recon_loss,train_total_loss,val_recon_loss,gene_prior_loss,context_prior_loss,sample_contrastive_loss
1,0.08615715278673623,0.08721999884154087,0.08690468221902847,0.008820881763190347,0.028715222864458812,0.0024971725464111383
2,0.08440231676543199,0.0854592963564983,0.08527639508247375,0.009169619550655433,0.028310814462184756,0.0024262786090849258
3,0.08278532058483137,0.08383563682980599,0.08363520354032516,0.009429045341880691,0.027937273330760452,0.0023617156721763653
4,0.0812913487018768,0.0823346508015636,0.08236169070005417,0.00961216568566652,0.027599928192011184,0.0023060956914247514
5,0.07994878036726968,0.0809853984735853,0.08126413822174072,0.009733788249237423,0.02731525867425501,0.0022484566574068896
6,0.07877710723333571,0.07980791601174198,0.08020932972431183,0.009813093551303312,0.02708656658061601,0.0021949900797993715
7,0.07778842761599067,0.07881423092860515,0.07930976897478104,0.009860394225496113,0.026900951404897497,0.002156688161319003
8,0.07701502114344783,0.07803671772391055,0.07865732908248901,0.009887248482188462,0.026757904897301208,0.0021214461982915697
9,0.07648647508918259,0.07750508776275607,0.07831814885139465,0.009904029169746514,0.026651851792185745,0.002097654755509581
10,0.0761440911669026,0.07716051186452419,0.07805884629487991,0.009916317170516116,0.026571884908818507,0.002093781993744789
