model,library,n_positive,n_negative,auroc,auprc,mean_positive_cosine,mean_negative_cosine
Txn_Jatin_epoch7,GO_BP,3000,3000,0.5998203333333333,0.6529396921836779,0.059723127633333206,-0.0019546989351511
s66qfh36_best,GO_BP,3000,3000,0.630676888888889,0.6200355622628195,0.0694795772433281,-0.005301515571773052
Txn_Jatin_epoch7,Hallmark,3000,3000,0.5287916666666667,0.5462242149232975,0.00859072245657444,2.7025133022107184e-05
s66qfh36_best,Hallmark,3000,3000,0.6520636666666667,0.6477212676117298,0.08801787346601486,0.005173135548830032
Txn_Jatin_epoch7,KEGG_2021_Human,3000,3000,0.6049017777777778,0.6575047585516235,0.054654184728860855,-0.0016004870412871242
s66qfh36_best,KEGG_2021_Human,3000,3000,0.6185997222222223,0.6192573576008025,0.06801232695579529,-0.0021176410373300314
