library,model,terms,mean_auroc,mean_auprc,shuffled_mean_auroc
DisGeNET,Txn_Jatin_epoch7,100,0.6909026607891804,0.18833726204188356,0.4998379169202392
DisGeNET,s66qfh36_best,100,0.6669390981911303,0.17608859081427503,0.4994775680845547
GO_BP,Txn_Jatin_epoch7,100,0.807964351903761,0.2562686597739884,0.503818680517098
GO_BP,s66qfh36_best,100,0.7090846704898194,0.07511019925786472,0.4986051414383607
KEGG_2021_Human,Txn_Jatin_epoch7,100,0.89792211997369,0.2733765313778002,0.5035451357957378
KEGG_2021_Human,s66qfh36_best,100,0.7329589650826159,0.0486206066885272,0.5051754800506076
