term,BRIDGE,BulkFormer_127M,BulkFormer_147M,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,ESM2_PCA512_prior,ESM3,Geneformer,Txn_Jatin,Txn_Jatin_contextual,scGPT
GO:0000086,0.674074074074074,0.5362962962962963,0.6266666666666667,0.7259259259259259,0.76,0.5940740740740741,0.8355555555555555,0.8148148148148148,0.7925925925925925,0.84,0.8518518518518519,0.845925925925926
GO:0000381,0.7909199522102748,0.5555555555555556,0.7634408602150538,0.6750298685782556,0.6344086021505376,0.6738351254480286,0.9344086021505377,0.8948626045400239,0.7204301075268816,0.945041816009558,0.8936678614097969,0.8996415770609318
GO:0000724,0.8248756218905473,0.7796019900497513,0.6492537313432837,0.5942786069651742,0.7350746268656716,0.7067164179104477,0.8788557213930348,0.8572139303482587,0.849502487562189,0.8860696517412935,0.9092039800995024,0.8358208955223881
GO:0001578,0.8830466830466831,0.6054054054054053,0.7611793611793611,0.6805896805896806,0.7515970515970516,0.711056511056511,0.9115216334467672,0.9088452088452089,0.8412776412776412,0.9270270270270271,0.9073710073710074,0.8414031620553359
GO:0001649,0.8292883587001234,0.6610448375154258,0.7104072398190044,0.6863430686960099,0.7165775401069518,0.6836692719045661,0.8499804151978065,0.8270259152612094,0.8813245577951461,0.8957219251336899,0.8829699712052653,0.7784862196626903
GO:0001654,0.798396056103319,0.7093806415775586,0.7336828218303013,0.6666782391334538,0.7207332314956256,0.7318775170115263,0.7984764542936288,0.8145743646715734,0.7906193584224414,0.8163796694903486,0.8116581030412442,0.8064157755867241
GO:0001666,0.8165303070291193,0.7060350136359638,0.7339227588633764,0.7233218967185713,0.6689979765989267,0.7224421571214921,0.7768100642209905,0.6830738101521949,0.7176035893375561,0.7887745227412686,0.7531890560394123,0.7513855898653998
GO:0001837,0.8869274809160306,0.674618320610687,0.7375954198473282,0.6941793893129771,0.5825381679389313,0.6650763358778626,0.8659351145038168,0.8201335877862597,0.8134541984732825,0.8702290076335878,0.8959923664122137,0.8654580152671756
GO:0001938,0.8452380952380953,0.6053113553113553,0.7632783882783882,0.7367216117216117,0.7971611721611721,0.7481684981684982,0.8713369963369964,0.8260073260073261,0.7673992673992674,0.8722527472527473,0.8507326007326007,0.7678571428571429
GO:0006325,0.7856978464573402,0.7101594607923722,0.7301331579812592,0.7029097484793687,0.7162091073483479,0.712707545618938,0.8980478640855999,0.888130856485287,0.7636692421502548,0.9005096169653132,0.8857307249712313,0.7950517836593787
GO:0006400,0.9091324200913242,0.8342465753424657,0.8721461187214612,0.8255707762557078,0.8465753424657535,0.9164383561643835,0.9141552511415525,0.9602739726027398,0.9009132420091324,0.9301369863013699,0.9050228310502283,0.9315068493150684
GO:0006402,0.7945075757575758,0.8207996192289386,0.8096144693003332,0.8150880533079486,0.7532127558305569,0.7739171822941456,0.9038553069966682,0.894811994288434,0.8139204545454546,0.9069602272727273,0.9038825757575757,0.8342803030303031
GO:0006487,0.8493055555555555,0.7605042016806722,0.7780112044817928,0.6582633053221288,0.7492997198879552,0.7969187675070029,0.9901960784313725,0.9740896358543417,0.8340277777777777,0.9944444444444445,0.9881944444444445,0.9027777777777778
GO:0006493,0.7975460122699387,0.6212463674523732,0.5473038424281562,0.5098482402324831,0.4329996771068776,0.6193090087181142,1.0,0.9996771068776236,0.7255408459799806,1.0,1.0,0.7946399741685503
GO:0006631,0.8011175898931001,0.6417125322682772,0.6148263601383274,0.6064487847645025,0.6346500414008085,0.6320685792216647,0.9168124392614189,0.9149091617553943,0.7519436345966959,0.9181729834791059,0.9051020408163265,0.7979591836734694
GO:0006693,0.7071428571428571,0.6690476190476191,0.6523809523809524,0.7904761904761904,0.7476190476190476,0.669047619047619,0.8833333333333334,0.8976190476190475,0.6452380952380953,0.9047619047619047,0.9,0.7833333333333333
GO:0006813,0.8428308823529411,0.7327868852459017,0.7741803278688525,0.7380122950819672,0.7565573770491802,0.7640368852459016,0.989889705882353,0.9776639344262295,0.8344566993464052,0.9888684640522876,0.9881535947712419,0.8160743464052287
GO:0006879,0.6806114239742558,0.588093322606597,0.5293644408688656,0.48028962188254226,0.5438455349959774,0.5494770716009654,0.7144006436041834,0.8238133547868062,0.6033789219629928,0.744971842316975,0.6934835076427996,0.8157683024939664
GO:0006888,0.8608630952380952,0.7755456349206349,0.7805059523809523,0.8058035714285715,0.8000992063492064,0.7934027777777778,0.8988095238095237,0.8464781746031745,0.8635912698412699,0.9144345238095237,0.9015376984126984,0.8762400793650793
GO:0007189,0.8530734632683658,0.6867816091954023,0.7252623688155923,0.665792103948026,0.7023988005997002,0.6486756621689156,0.9635182408795603,0.9603948025987007,0.844327836081959,0.9647676161919041,0.9558970514742628,0.8392053973013494
GO:0007283,0.7236708860759493,0.6515189873417722,0.6713417721518987,0.6205063291139241,0.6609113924050634,0.6253164556962025,0.6950505050505051,0.6790126582278481,0.7289367088607596,0.7229620253164558,0.6926075949367089,0.7386835443037976
GO:0007399,0.7703839097075502,0.680591849216057,0.7038321472256199,0.7104484043144669,0.6989325030579341,0.685123151339931,0.7776673523851885,0.7695568775714445,0.7583328700100078,0.786764705882353,0.7748318136328255,0.7525153288740245
GO:0007601,0.7723960296519663,0.6806131423545673,0.7065586128910667,0.6764668928257319,0.7144113582108305,0.7088830255057168,0.8427318295739348,0.7852117100138208,0.8316999623068224,0.8570800351802991,0.82347028521171,0.8067596431712527
GO:0007605,0.6889281507656065,0.7269729093050649,0.712720848056537,0.6862190812720848,0.7110718492343934,0.7136631330977621,0.7855123674911659,0.7109540636042403,0.6743227326266197,0.7806831566548881,0.787279151943463,0.67773851590106
GO:0008202,0.7043489004200642,0.5843834939461329,0.618482826785273,0.5854954287126266,0.6155794415616507,0.6325055596738325,0.8130226266601082,0.8273412404250061,0.755868544600939,0.8201754385964912,0.822646404744255,0.8450086483815173
GO:0008584,0.6376969886097674,0.6398814167576845,0.6433140895615541,0.6528319550631925,0.6726478389764394,0.6682789826806054,0.7280386955843346,0.7420814479638009,0.6570447807770322,0.7256982368544235,0.7266344203463879,0.7372444999219847
GO:0010506,0.7414203612479475,0.6415024630541871,0.6855090311986863,0.6673645320197045,0.6534072249589491,0.6511083743842365,0.831896551724138,0.7819786535303775,0.7297208538587848,0.82183908045977,0.8104269293924466,0.7763136288998358
GO:0016236,0.813220940550133,0.8114463176574978,0.8064773735581189,0.7786157941437444,0.7927240461401952,0.8097604259094942,0.9020408163265307,0.8611357586512866,0.8047914818101154,0.9183673469387754,0.8939662821650399,0.8062111801242235
GO:0031297,0.9132530120481928,0.655421686746988,0.7807228915662651,0.9228915662650603,0.7903614457831325,0.8602409638554217,0.963855421686747,0.9518072289156627,0.9373493975903614,0.9614457831325302,0.9493975903614458,0.8891566265060241
GO:0031398,0.7065120428189116,0.4977698483496878,0.5399940529289324,0.5619982158786797,0.5795420755278026,0.6092774308652988,0.7534939042521558,0.7534939042521558,0.6217662801070473,0.7600356824264051,0.6904549509366638,0.5816235504014273
GO:0034341,0.8957194899817851,0.6775956284153006,0.7477231329690346,0.7413479052823315,0.7527322404371585,0.7632058287795992,0.6516393442622951,0.5878870673952641,0.7468123861566485,0.7172131147540983,0.5969945355191256,0.6735347985347985
GO:0035987,0.850328947368421,0.8404605263157895,0.8651315789473685,0.7796052631578947,0.7598684210526315,0.7236842105263157,0.9253246753246753,0.9177631578947367,0.8470394736842105,0.9473684210526316,0.9424342105263158,0.8684210526315789
GO:0042476,0.7511842433308402,0.6848666168037896,0.6355023684866616,0.6975816504612316,0.6851159311892296,0.6714036399900274,0.7470238095238094,0.7579157317377213,0.7250062328596361,0.7399650959860384,0.7726252804786836,0.7601595612066816
GO:0042593,0.625,0.5803510565780504,0.5697000681663258,0.5199386503067485,0.5480572597137015,0.5980743012951601,0.6448352021746517,0.6319018404907976,0.6007157464212679,0.6463871847307431,0.6509032038173143,0.6483469665985003
GO:0042632,0.7709790209790209,0.6140734265734266,0.7504370629370629,0.7290209790209791,0.708041958041958,0.6315559440559441,0.8492132867132868,0.7902097902097902,0.8518356643356644,0.8618881118881119,0.8011363636363636,0.8968531468531469
GO:0043488,0.707896051974013,0.6398050974512743,0.7038980509745126,0.6636681659170415,0.7031484257871065,0.6681659170414792,0.8394552723638181,0.8314592703648177,0.7390054972513743,0.8440779610194903,0.8487006496751623,0.7335423197492162
GO:0045089,0.7894204851752021,0.6750336927223719,0.6995732255166217,0.6766060197663971,0.6942385444743935,0.7187780772686433,0.7799865229110512,0.7494384546271339,0.7865566037735849,0.8168238993710693,0.7844788858939803,0.7387418555036614
GO:0045787,0.7503659726740403,0.6277003342300481,0.6625499307084046,0.620078258742969,0.5848210646449825,0.6354446890030163,0.7619629901361376,0.7776147387299258,0.6875406636304489,0.7706977878985036,0.7347918022121014,0.6935273498002773
GO:0045814,0.8641898864809081,0.5958720330237358,0.6643962848297214,0.6066047471620227,0.6220846233230134,0.5989680082559339,0.9199174406604748,0.936016511867905,0.7680082559339525,0.9294117647058824,0.9131062951496387,0.7795665634674922
GO:0046034,0.7169035153328347,0.637995512341062,0.6140613313388182,0.6585639491398654,0.6952131637995512,0.6675392670157068,0.9319196428571428,0.8661181750186986,0.6278982797307404,0.9308152580403889,0.9278234854151085,0.6454749439042633
GO:0050679,0.7762046908315566,0.6776972281449893,0.6845202558635395,0.6915991471215353,0.674456289978678,0.6819616204690832,0.7804690831556503,0.7699786780383796,0.7288699360341152,0.7931769722814499,0.7759488272921109,0.7596588486140724
GO:0050680,0.6395700369499495,0.5352704064494458,0.5913671481357071,0.5918710110849849,0.6207591535102451,0.5843130668458179,0.5614712798118912,0.5240174672489083,0.6454484380248573,0.5651662747732616,0.527040644944575,0.621430970775949
GO:0050731,0.7876288659793814,0.5100515463917525,0.6453608247422681,0.7494845360824742,0.6907216494845361,0.6608247422680413,0.8296391752577319,0.7600515463917525,0.7481958762886598,0.8363402061855669,0.8051546391752578,0.6608247422680412
GO:0050796,0.726611570247934,0.6138842975206611,0.6651239669421488,0.645068870523416,0.6264462809917356,0.6973002754820936,0.7097520661157025,0.7825895316804409,0.6970798898071625,0.7348760330578512,0.6798898071625344,0.7067768595041322
GO:0050890,0.6822549647661755,0.5628203074951954,0.5992953235105701,0.6236386931454195,0.6598334401024986,0.5871236386931454,0.6862187700192184,0.6527466367713005,0.7019538757206919,0.6412556053811659,0.6394138372837924,0.6874599615631005
GO:0051310,0.7264957264957266,0.8664529914529915,0.766559829059829,0.671474358974359,0.8199786324786325,0.7986111111111112,0.9102564102564102,0.90491452991453,0.8301282051282052,0.9172008547008548,0.9113247863247864,0.8707264957264957
GO:0051865,0.6635451505016723,0.7678929765886288,0.7391304347826086,0.7926421404682276,0.7183946488294315,0.7792642140468228,0.9010033444816055,0.9431438127090301,0.5498327759197325,0.9056856187290969,0.8842809364548494,0.6341137123745819
GO:0060828,0.699813892661335,0.6930737890448166,0.6838187213922841,0.6781349026708918,0.6627433227704844,0.6499170061868116,0.7786328655500225,0.7867813490267089,0.7161108596147076,0.7251144308636387,0.767969418037322,0.7040893315225593
GO:0061844,0.906301824212272,0.9170812603648424,0.7014925373134329,0.8192371475953566,0.8391376451077943,0.8291873963515755,0.9907604832977966,0.9510779436152571,0.9469320066334992,0.9950248756218906,0.9958540630182421,0.9817578772802653
GO:0070555,0.8479205462445687,0.6815642458100558,0.5977653631284916,0.7293606455617628,0.7259466170080695,0.7073246430788329,0.7526381129733085,0.7833643699565488,0.7669149596523899,0.7833643699565487,0.7849162011173184,0.808504034761018
GO:0090303,0.8009523809523809,0.7038095238095239,0.7095238095238096,0.6723809523809524,0.6714285714285714,0.7123809523809523,0.7066666666666667,0.5971428571428572,0.738095238095238,0.7247619047619047,0.7161904761904763,0.801904761904762
GO:0097190,0.7344676463005929,0.6520580905731718,0.6807596459568618,0.7008679212855546,0.688751396408009,0.6944659276445819,0.775083397485245,0.7809143249978516,0.719816103806823,0.7881756466443242,0.7709461201340551,0.7168514221878491
GO:0097191,0.7357282094124199,0.6828181565023671,0.6945140629351155,0.6945140629351156,0.6778056251740463,0.6591478696741855,0.7730437204121415,0.783068783068783,0.7942077415761626,0.7911445279866333,0.7513227513227514,0.7485380116959064
GO:1901224,0.8552515445719329,0.7157987643424537,0.7263901147396292,0.678729037952339,0.560458958517211,0.703442188879082,0.7016769638128861,0.5251544571932922,0.7908208296557812,0.7784642541924095,0.7740511915269197,0.8065953654188949
GO:2000781,0.8089826839826839,0.7765151515151515,0.7435064935064936,0.7754329004329004,0.7846320346320346,0.8403679653679654,0.7981601731601732,0.7997835497835498,0.7878787878787878,0.8122294372294372,0.7938311688311688,0.8311688311688311
GO:2001244,0.6849056603773584,0.65,0.7,0.6339622641509435,0.6839622641509434,0.6452830188679245,0.6028301886792453,0.7301886792452831,0.7773584905660378,0.6150943396226415,0.5660377358490566,0.8386792452830188
