term,BRIDGE,BulkFormer_127M,BulkFormer_147M,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,ESM2_PCA512_prior,ESM3,Geneformer,Txn_Jatin,Txn_Jatin_contextual,scGPT
GO:0000086,0.3724754153015727,0.2897331834831835,0.2004373570872373,0.246301247771836,0.3737505141916907,0.2245672785639579,0.602506038647343,0.5342263483642794,0.41256711855396067,0.6239853896103895,0.678125,0.37794897597529176
GO:0000381,0.5698994252873563,0.3161733161733162,0.34514929514929515,0.22949111153487584,0.27724188050275006,0.37013211081534064,0.7771164021164021,0.7177031509121061,0.3158376214979989,0.7792592592592592,0.7851190476190476,0.5744949494949495
GO:0000724,0.46001246436938426,0.3012729091958583,0.2132904034379993,0.21789912166064662,0.2854876994968238,0.2772363764154071,0.7495177171313535,0.5852856294032763,0.5020755928441027,0.7500541125541126,0.7242081089642066,0.40319960255267534
GO:0001578,0.6437835879938683,0.21008201034718121,0.18924433586837028,0.1115133535561025,0.2921086297039981,0.21099467313225923,0.5648178312795739,0.5503830628873825,0.6903402964170604,0.5921230274103838,0.5033136520647512,0.8035530862899283
GO:0001649,0.3750001656555055,0.10976206960821361,0.1349398905952869,0.15968751639580456,0.2434083823969858,0.12353940789244085,0.420521937387768,0.5317597877254117,0.39748306162725394,0.47658124129606133,0.4832752272617691,0.33856838680442297
GO:0001654,0.49820792082975296,0.3735840899167038,0.3988121486263544,0.30702291270669607,0.32875006477001684,0.3141852941548968,0.5460326387510126,0.5657519545233469,0.5126251850726321,0.5673735306477355,0.5534974491234855,0.5493365447658246
GO:0001666,0.4796306877816441,0.33456325667896003,0.32779170494349674,0.2932277925250668,0.20563586815922832,0.29173531718055123,0.33231810927077,0.3239129831592577,0.3499640730093212,0.45249157312791394,0.2986665676459355,0.48054907457687335
GO:0001837,0.4615545466830052,0.20520867207793084,0.49554300062774637,0.29728908151091704,0.2350212160556988,0.32328391711183235,0.6061237206643094,0.5644080120086311,0.4592334975944642,0.6083964520328157,0.6658563658563659,0.5933977867641363
GO:0001938,0.38535387963492534,0.27215096116697945,0.32055988256816415,0.29702197876327396,0.330734536531638,0.3794556081105789,0.24539837932639313,0.27386656910891227,0.3432749349416016,0.2525189525189525,0.3571088423517048,0.23049381439293548
GO:0006325,0.5713940890988892,0.4721744720744623,0.581769471956808,0.4689984962097283,0.5332702716247031,0.49844008883367086,0.7295461577614553,0.7059381600537177,0.5128105359523978,0.7370557181920863,0.6991167371430523,0.5655513925977145
GO:0006400,0.7287254901960784,0.3577526556840058,0.48128560283529853,0.42554242658073105,0.5793083753610069,0.5098879312408724,0.7242276799505715,0.7875654653876069,0.5287110389610389,0.7408581256142232,0.7169580051808967,0.5617476597476597
GO:0006402,0.46592673200401447,0.35085916749880564,0.5143632930951977,0.4177739916988133,0.49112658900244355,0.42711114356197255,0.7718207801584805,0.4780785282894151,0.2303024199329958,0.7928022875816992,0.7762235583471264,0.45823666393573004
GO:0006487,0.6818479459608492,0.32565270188221007,0.4060243041143694,0.3451344647601482,0.495230629877369,0.40193452380952377,0.9010416666666666,0.6394106506238859,0.34097813958206535,0.9338235294117647,0.9028532608695652,0.7995657568238214
GO:0006493,0.47670436401639404,0.28483093356041644,0.10824506888998502,0.11442287751180347,0.13674607526792265,0.1887509366323643,1.0,1.0,0.24299490841007446,1.0,1.0,0.33974973149849996
