panel,fold,samples,patients,auroc,f1,balanced_accuracy
5_cancer,1,694,622,0.9997330842119311,0.9968553459119497,0.9737888696116375
5_cancer,2,712,624,0.98750433877126,0.9953703703703703,0.9552238805970149
5_cancer,3,692,624,0.9998894874982732,0.997639653815893,0.9816687387760741
5_cancer,4,694,621,0.9921112556929083,0.9937106918238994,0.9623725872912601
5_cancer,5,689,625,0.9994837969601377,0.9952904238618524,0.9454545454545454
