panel,projects,samples,patients,tumor_samples,normal_samples,oof_auroc,fold_auroc_mean,fold_auroc_std,fold_f1_mean,fold_balanced_accuracy_mean
2_cancer,"['TCGA-LUAD', 'TCGA-LUSC']",1163,1019,1053,110,0.9994906328239661,0.9994177923934187,0.0008290455212246896,0.996698060024021,0.9830905936108904
5_cancer,"['TCGA-BRCA', 'TCGA-KIRC', 'TCGA-LUAD', 'TCGA-LUSC', 'TCGA-SKCM']",3481,3116,3185,296,0.9953010310153168,0.9957443926269021,0.00566067108092322,0.9957732971567929,0.9637017243461063
