gene_symbol,importance
PECAM1,0.025642875890277753
SFTPC,0.013957450241063658
TEK,0.013597865608807123
GIMAP8,0.012795992187317551
FGR,0.01158783837759169
CLEC14A,0.011210631127084198
GLIPR2,0.009807746776105677
GPM6A,0.009794991719922694
EMP2,0.009678013142162321
ARHGEF39,0.009568458634150623
STX11,0.009309027975064216
RS1,0.009305967284738145
RGCC,0.009267079400100317
FABP4,0.009258687784976962
FGD5,0.009059684238628862
ASPA,0.009058269406241234
RSPO1,0.009036112772837092
AOC3,0.008985073928387998
SLC39A8,0.008842071086599103
GKN2,0.008723722868681748
EFCC1,0.008694904729894377
ACADL,0.00866072673186343
FGFR4,0.00835113287528518
PSAT1,0.008338279636465662
AQP4,0.007781052568087632
INMT,0.007256230401503438
ACVRL1,0.007249327414319931
AGER,0.007236177127538809
FERMT1,0.006794624791334497
CLEC3B,0.006754601767726511
VEPH1,0.006666401405428569
ADRB2,0.006533211304662682
LDB2,0.006531318392507464
SGCG,0.006514968279071314
TCF21,0.0064755124678094736
GIMAP1,0.006457520979027656
UBE2T,0.006389454350012256
GDF10,0.006356431752510627
JAM2,0.006342860565294961
ROBO4,0.006165607282364414
TEDC2,0.006136298778193852
CDH5,0.0060661159296498905
FLAD1,0.006052825286233623
TRPV2,0.006050360594795737
HSPA12B,0.005996460340302855
ESAM,0.005981658612830891
RAI2,0.0059645232397768574
SFXN1,0.005951633697001186
CCM2L,0.005883265883957114
MFAP4,0.0058548549567525214
SH2D3C,0.005846655096763825
KANK3,0.005823967546471708
SAPCD2,0.00582325868822722
EPAS1,0.00574773648150144
FLI1,0.005745354556545757
CAT,0.005695039589341954
MMRN2,0.00565986931208104
NEIL3,0.005613079512220957
ARHGAP31,0.005592712534836581
SPAAR,0.005589365268257756
ANKRD1,0.005534253493825408
SLC46A2,0.00551928324177756
OSCAR,0.005494147225441884
CRTAC1,0.0054634001426772105
ORC6,0.0054602404001608444
SLC2A1,0.0054188006186417755
CDCA5,0.005344851913177703
SLC51B,0.005273937280880299
RXRG,0.005206406372563381
S1PR4,0.005202258707167998
SERINC1,0.005179912428998638
C1QTNF7,0.005117337853470136
JPH4,0.004636709753679777
ADAMTS8,0.004167844198749447
GPT2,0.004131957587168482
CAVIN2,0.0040386900324762215
LIMS2,0.0037584372673599114
LGI3,0.0037543147380724477
MFNG,0.003675218140353893
PAICS,0.0036489930548962383
CLDN18,0.0036377351075735837
RECQL4,0.003604459130941166
NPR1,0.0035719761362170907
EMCN,0.003527934889841191
S1PR1,0.0034842985508078865
MEX3A,0.0034211076597965317
EDNRB,0.0034040592990637842
NOVA2,0.0033951378765736833
FAM107A,0.003393337628171949
CCBE1,0.003378182810928247
GINS1,0.003314755688287673
RAMP2,0.0033099277768861217
SLC6A4,0.0032484634278837927
PDLIM2,0.003223809404032356
CAV1,0.0032091762587731438
PLAC9,0.003142620016338068
IQGAP3,0.0030683537612252883
DEPDC1B,0.0030587925069617433
NECTIN4,0.0030384972419517874
SCUBE1,0.003018875291740234
ANGPT4,0.002992049928239007
CBLC,0.0029902764700661167
SUSD2,0.0029767120551903816
ARHGAP6,0.0029754929199484683
HYAL1,0.0029672000405280537
AGRP,0.0029612075179752543
RAMP3,0.0029561999056751764
PHACTR1,0.0029272519794409286
DLGAP5,0.0029217230886138877
GPX3,0.002920322219951205
CCNE1,0.002908103152111817
CCDC141,0.002904448466820259
PIP5K1B,0.00288279311081896
CHRDL1,0.0028778738115663085
TMEM88,0.0028709359061073357
MTARC2,0.002867906589528893
SKA3,0.002863698753470021
GPA33,0.0028443826448737676
RILPL2,0.002836032456092756
DOK2,0.0028316686425978043
MYBL2,0.0028216389298110905
GRIA1,0.0028203374033946046
TIE1,0.0028143145669880837
MYCT1,0.0028044307442884027
MYOC,0.0027973614079245777
PNPLA6,0.002793114629111708
RCC1,0.0027866624017706043
DKC1,0.00278437054910355
TGFBR2,0.0027666366883521837
PTH1R,0.002764018772761098
CLEC1A,0.0027607359065834696
ROR1,0.0027590286938313415
PPAT,0.00275673568820043
CDCA8,0.0027374570935224866
WWC2,0.0027342138967576786
CGNL1,0.002727611835560631
TAL1,0.0027237913948712916
ITIH5,0.0027124163003630756
RFC4,0.002712249863206441
JPT1,0.0026970938676132085
PDK1,0.0026952998378840087
CYYR1,0.0026919420264741325
KLF2,0.002680981536352718
CYP1A2,0.002678788609196715
CCDC85A,0.0026763232964270266
FMO2,0.0026720287756618814
HSD17B6,0.0026707547375684065
LEPR,0.0026706194114063464
ABI3BP,0.002667594401224918
NMUR1,0.002667373245431001
RXFP1,0.002666733123062769
PRX,0.0026633553121064714
ST8SIA6,0.002660161295574813
SYNC,0.0026595618995107974
DES,0.002657967788695335
VSIR,0.002654669953845169
NXPH3,0.0026516188719917216
KANK2,0.002649683780620955
ABCA3,0.0026422605578352285
SLIT3,0.0026357853362049665
KIF18B,0.0026220853967783755
C5AR1,0.0026205242698241933
CD93,0.002616897266989194
SLC19A3,0.002612573552693047
GIMAP4,0.0026023112496813446
TOP2A,0.0026005727038735387
