gene_symbol,importance
IQGAP3,0.012486844078546713
SCN2B,0.012364923242523609
ALDH1A2,0.012284844823037221
LRRC2,0.010817970269054622
FBLN5,0.010211853720856895
ARHGEF39,0.009077106904341395
MELK,0.008914530624065598
FOXM1,0.008737166375817625
NR3C2,0.008568159977049244
ECRG4,0.008508954449483722
CDCA5,0.008069708274896835
CAT,0.007809513288144304
SOD3,0.007807494074955998
GTSE1,0.007692170191042349
NEIL3,0.007396341656308169
MMP11,0.007168230661343336
FAM107A,0.006916470693931054
KIF20A,0.0067241938910498535
KIF18B,0.006713498777050277
GPRIN1,0.006491365922114499
UBE2T,0.00631973088065248
PCDH9,0.0061900667308562324
GPC3,0.006086091047346754
MTURN,0.0058810018539101235
CLEC3B,0.005862949684099469
PBK,0.005788172995077261
PHYHD1,0.005533761550332214
KL,0.005442823924058957
PCLAF,0.005245431776575143
E2F7,0.005162426288180208
PSMB4,0.005040867458740158
CCM2L,0.0050077323725548645
HSPB7,0.004806065444028494
PGM5,0.00466118692444615
NCAPH,0.004658328888760824
CORO2B,0.004640007272786732
SELP,0.004612614315839746
TGFBR2,0.004569609574087214
VEGFD,0.004545191748291799
CKAP2L,0.004508857488178137
NEK2,0.004495227592495053
WASF3,0.0044436281077053314
CDC25C,0.004314726135781508
JAM2,0.004193549886200227
TPX2,0.00413571696508704
BUB1B,0.004111604625480426
TROAP,0.004088537174676253
TSPAN7,0.0039972789163391234
KIF2C,0.003962714287694946
CDCA3,0.00395745342194263
MTX1,0.003942769814062535
CDCA8,0.003932930469978338
LYVE1,0.003922201458595353
PKMYT1,0.0038846623574520824
SEMA3G,0.003874745062332529
PIMREG,0.0038435582673841573
RRM2,0.0038087177615939503
CCNB2,0.00380652658206671
ADRA1A,0.003788995510805479
BIRC5,0.003786934812744631
DDX39A,0.003750897136974555
PRDX4,0.003683734607660897
UHRF1,0.0036619189460272
AVPR2,0.0036595824346838555
SLC19A3,0.0036484773677543814
DLGAP5,0.0036468162973084467
BUB1,0.003625569305151972
SPAG5,0.0035405970186419963
PTGFR,0.003531192728928066
PLPP3,0.0035268428079790553
EZH2,0.003520025970672648
CCNE1,0.0033960135885306125
RANBP3L,0.003378046978152953
MMRN2,0.0032876999040594686
NECAB1,0.0032404976194187712
AJM1,0.0032068425304387486
PFKFB4,0.0031621536012236967
PYCR1,0.003141860887215812
ERCC6L,0.00313939018524596
CCBE1,0.003129951702097576
SPAAR,0.0031231112201054413
ESCO2,0.003120652319096432
OVCH2,0.0030981364072864208
KBTBD12,0.0030174605453445347
TEK,0.0030147666159738005
NUF2,0.00299941847929311
FMO2,0.00296666852764975
AOX1,0.0029657327928997415
EMCN,0.0029628009862525465
ASPM,0.002924156651480033
ADGRB3,0.002866919407060574
CHRDL1,0.002777300837114566
NKAPL,0.00277703505251176
FANCI,0.0026853522833154325
KIF14,0.002630163179811543
P4HA1,0.0026301305771404327
TGFBR3,0.002595854023953839
SCNN1B,0.0025137157727947476
RECQL4,0.002482164510353192
CDC6,0.0024780661504225855
ASF1B,0.002404725873610048
AQP1,0.002387689000310686
SPC24,0.002382130990300994
FERMT2,0.0023762845868327653
ITIH5,0.002319104832792602
GPR19,0.002318725808866581
NOL3,0.0023174521157495994
SHMT2,0.0023134484560326483
COX7A1,0.0022978635391848194
AURKA,0.002278365070520132
RAD51,0.002268892312686042
SH3BGRL2,0.0022474233476611513
TOP2A,0.0022278459673171756
SOBP,0.0022058098367819384
CLSPN,0.0021703634687759463
PTPN21,0.002169053971320355
DONSON,0.0021661866877863444
RUSC1,0.002144229391824801
LDB2,0.0021331374576330797
UBE2C,0.0021256163432905933
CDC45,0.0020802195970385097
TYMS,0.0020311294955672426
ORC6,0.002015383376717915
C1QTNF7,0.001998525076030194
RGN,0.0019813951328055955
GPD1L,0.001976456184162635
INMT,0.0019717090898683305
SKA3,0.0019645627614535326
ASPA,0.0019485441271016298
AURKB,0.0019475633865795967
ANLN,0.001934800525871442
GIPC2,0.0019313595438001973
NCAPG,0.0019281332824632872
TRIP13,0.001927926441739555
SKA1,0.001923142836996025
CCDC167,0.0019080391626105486
CENPI,0.001902527470964428
PDZRN4,0.0018775997715342544
NME1,0.0018753034010428815
TCEAL7,0.0018724108823043595
TK1,0.001859967448150999
LPL,0.0018597531647721514
POLQ,0.0018449203841453285
METTL26,0.0018073681802811884
ENO2,0.0018013446887450628
SCNM1,0.001798034279844413
DACH1,0.001797854787266832
PSMG3,0.0017950443097152172
BMP7,0.001781638623770331
ARHGAP11A,0.0017782435821439007
WFIKKN2,0.0017714935178573103
KLHL33,0.0017619856025254583
HMMR,0.0017604246797650513
EPB41L4B,0.0017595862532660256
USP44,0.0017445598578023384
CENPF,0.0017425591688372188
PPP1R14A,0.001735543398411631
SYNE1,0.001730065382830618
CENPK,0.0017222430174016726
ANGPT4,0.0017125270181211382
