model,dataset,mask_seed,supported,status,samples,masked_genes,pcc_global,pcc_gene_macro,pcc_sample_macro,spearman_global,mse,mae,auroc_macro,auprc_macro,auc_eligible_genes,reason
BRIDGE,TCGA,20260723,True,complete,3481,2188,0.9149063593528497,0.7771253256186486,0.9134042109439031,0.9133960227011129,0.4097309410572052,0.40990450978279114,0.9137480234187394,0.855344750328661,1581,
BRIDGE,TCGA,20260724,True,complete,3481,2188,0.9158970866316397,0.7684475246404736,0.9146710662997958,0.9132840230686878,0.41575777530670166,0.41121166944503784,0.909510173522546,0.8433191007301452,1543,
BRIDGE,TCGA,20260725,True,complete,3481,2188,0.9158435545148036,0.7740054287843522,0.9145043125888186,0.9151586771798355,0.40823689103126526,0.40592101216316223,0.9128937560198563,0.8483417581704217,1565,
BRIDGE,OSDR,20260723,True,complete,2099,2188,0.8906394226448859,0.9164844735432739,0.8875118731430112,0.8758365341848107,0.7527109384536743,0.45180773735046387,0.9533395983328905,0.9510499454736857,1337,
BRIDGE,OSDR,20260724,True,complete,2099,2188,0.9035599438466896,0.9184304441760353,0.9007265265070864,0.8882113912937033,0.6541659832000732,0.4345662593841553,0.9558326853027767,0.9540003519062606,1346,
BRIDGE,OSDR,20260725,True,complete,2099,2188,0.9137326574569762,0.9138808671329756,0.9114211571960577,0.8992414320179967,0.5913804769515991,0.41909679770469666,0.9557667608589534,0.9494012400031273,1342,
