index,model,panel,gene_symbol,mean,std
5619,BulkFormer_37M,2_cancer,HSD17B6,0.003669459719302033,0.004110159394463049
4374,BulkFormer_37M,2_cancer,FGFR4,0.0035884984456910334,0.004172045093741318
6056,BulkFormer_37M,2_cancer,ITIH5,0.0035720346822911996,0.0014963548225618677
9032,BulkFormer_37M,2_cancer,PDLIM2,0.003458142899255933,0.0028083861968727663
13543,BulkFormer_37M,2_cancer,TRPV2,0.0034394506505027664,0.0031231231791446394
12148,BulkFormer_37M,2_cancer,SPOCK2,0.0033612680792352,0.005376089069299032
6727,BulkFormer_37M,2_cancer,LMO2,0.0033491970566300335,0.0032659467243370197
11798,BulkFormer_37M,2_cancer,SLCO1C1,0.0033450199150251666,0.005793744445153318
10261,BulkFormer_37M,2_cancer,RAMP2,0.0033327752127792994,0.00022781833674093315
5900,BulkFormer_37M,2_cancer,INMT,0.0033060360508378422,0.003389189001661839
13291,BulkFormer_37M,2_cancer,TNNC1,0.003252064581433933,0.005421729013292417
10428,BulkFormer_37M,2_cancer,RDH5,0.0032399594209455,0.005611774331539045
10578,BulkFormer_37M,2_cancer,RILPL2,0.003235444858080534,0.002875327962748566
10993,BulkFormer_37M,2_cancer,SAPCD2,0.003202378487134567,0.002631881454790739
12334,BulkFormer_37M,2_cancer,STIL,0.0031995199746491995,0.002954955005941825
1665,BulkFormer_37M,2_cancer,CAT,0.0031974599653586664,0.0025929491147237177
4426,BulkFormer_37M,2_cancer,FLAD1,0.003194843146081134,0.003179783369787346
8359,BulkFormer_37M,2_cancer,NPR1,0.003154513800685533,0.0031440381421352155
10692,BulkFormer_37M,2_cancer,RNF223,0.003142974504822433,0.005443791529246087
2531,BulkFormer_37M,2_cancer,CNTN6,0.0031251001712096667,0.002892982197751493
11247,BulkFormer_37M,2_cancer,SERPINF1,0.0031166841262052335,0.005398255257730875
7868,BulkFormer_37M,2_cancer,MYOC,0.003105720576133867,0.0029204466175272604
10873,BulkFormer_37M,2_cancer,RSPO1,0.0031048166018821477,0.0050662790697096945
1940,BulkFormer_37M,2_cancer,CD93,0.003097347228523667,0.003253133580753256
7134,BulkFormer_37M,2_cancer,MARCO,0.0030925822340587,0.0029444451010965647
3657,BulkFormer_37M,2_cancer,EFCC1,0.0030831301172278332,0.005118161163654596
4345,BulkFormer_37M,2_cancer,FGD5,0.003082087445397633,0.002994770431195482
11763,BulkFormer_37M,2_cancer,SLC6A4,0.0030499663927079997,0.0001721490708548445
494,BulkFormer_37M,2_cancer,ALKAL2,0.0030468157583700335,0.004982120927241334
6096,BulkFormer_37M,2_cancer,JAM2,0.0030327025071301664,0.005252794826590964
3455,BulkFormer_37M,2_cancer,DPT,0.0030088197097537,0.0052114286081080515
4100,BulkFormer_37M,2_cancer,FAM110D,0.003005916045407566,0.0029971416128872137
3504,BulkFormer_37M,2_cancer,DTNA,0.0030036089095174666,0.002581277759458627
4828,BulkFormer_37M,2_cancer,GIMAP1,0.002984834902048362,0.0030579246032447875
10889,BulkFormer_37M,2_cancer,RTKN2,0.0029628283811751334,0.004812682309214293
