model,panel,mask_seed,fold,auroc,f1,balanced_accuracy
BulkFormer_37M,5_cancer,20260725,1,0.9949048445289047,0.9976470588235294,0.9816712109945193
BulkFormer_37M,5_cancer,20260725,2,0.999558472904954,0.9961089494163424,0.9614841197421482
BulkFormer_37M,5_cancer,20260725,3,0.999320553263771,0.9952830188679245,0.9607498180053385
BulkFormer_37M,5_cancer,20260725,4,0.9992465340566606,0.9960474308300395,0.9746081977094635
BulkFormer_37M,5_cancer,20260725,5,0.9855828715907258,0.9953271028037384,0.9639571789768142
