model,panel,mask_seed,fold,auroc,f1,balanced_accuracy
BulkFormer_37M,5_cancer,20260723,1,0.9997330842119311,0.996066089693155,0.9730014680368344
BulkFormer_37M,5_cancer,20260723,2,0.9953835473793822,0.9953703703703703,0.9552238805970149
BulkFormer_37M,5_cancer,20260723,3,0.9998894874982732,0.997639653815893,0.9816687387760741
BulkFormer_37M,5_cancer,20260723,4,0.9928974192149208,0.9937106918238994,0.9623725872912601
BulkFormer_37M,5_cancer,20260723,5,0.9992543733868655,0.9945011783189317,0.9446659019214224
