model,dataset,mask_seed,supported,status,samples,masked_genes,pcc_global,pcc_gene_macro,pcc_sample_macro,spearman_global,mse,mae,auroc_macro,auprc_macro,auc_eligible_genes,reason
Txn_Jatin,TCGA,20260723,True,complete,3481,2188,0.909091701090284,0.8056857342410711,0.9075320467322904,0.909927021845048,0.4394334256649017,0.3919903934001922,0.9304550235792696,0.8748078658801534,1581,
Txn_Jatin,TCGA,20260724,True,complete,3481,2188,0.9152529422870238,0.8005695031171172,0.914141297357516,0.9180562695045952,0.4212087392807007,0.3880001306533813,0.9273013303586668,0.8657755633248184,1543,
Txn_Jatin,TCGA,20260725,True,complete,3481,2188,0.9019026071246822,0.800291694255767,0.9004217040021678,0.9066450950719988,0.4726060330867767,0.4049710631370544,0.9275232605523356,0.8682928365253688,1565,
Txn_Jatin,OSDR,20260723,True,complete,2099,2188,0.7864356111875278,0.6922876282996981,0.7806297827471206,0.7760682353444054,1.421189308166504,0.7712472081184387,0.8599665037800464,0.8809889700716341,1337,
Txn_Jatin,OSDR,20260724,True,complete,2099,2188,0.8040791847670278,0.697670581342801,0.7983980590300994,0.7941276108196704,1.28396475315094,0.7489855289459229,0.8591801697292639,0.8778798211123754,1346,
Txn_Jatin,OSDR,20260725,True,complete,2099,2188,0.8162625336141877,0.6947047636692044,0.8111759397800676,0.8070879705287778,1.2185254096984863,0.7320839762687683,0.8667764404642458,0.8799524654001954,1342,
BRIDGE,TCGA,20260723,True,complete,3481,2188,0.9149063593528496,0.7771253256186486,0.9134042109439032,0.9133960227011128,0.4097309410572052,0.4099045097827911,0.9137480234187394,0.855344750328661,1581,
BRIDGE,TCGA,20260724,True,complete,3481,2188,0.9158970866316396,0.7684475246404736,0.9146710662997958,0.9132840230686878,0.4157577753067016,0.4112116694450378,0.909510173522546,0.8433191007301452,1543,
BRIDGE,TCGA,20260725,True,complete,3481,2188,0.9158435545148036,0.7740054287843522,0.9145043125888186,0.9151586771798356,0.4082368910312652,0.4059210121631622,0.9128937560198565,0.8483417581704217,1565,
BRIDGE,OSDR,20260723,True,complete,2099,2188,0.8906394226448859,0.916484473543274,0.8875118731430112,0.8758365341848107,0.7527109384536743,0.4518077373504638,0.9533395983328904,0.9510499454736856,1337,
BRIDGE,OSDR,20260724,True,complete,2099,2188,0.9035599438466896,0.9184304441760353,0.9007265265070864,0.8882113912937033,0.6541659832000732,0.4345662593841553,0.9558326853027768,0.9540003519062606,1346,
BRIDGE,OSDR,20260725,True,complete,2099,2188,0.9137326574569762,0.9138808671329756,0.9114211571960577,0.8992414320179967,0.5913804769515991,0.4190967977046966,0.9557667608589534,0.9494012400031272,1342,
BulkFormer_37M,TCGA,20260723,True,complete,3481,2188,0.8683737514074258,0.6554194652132836,0.8662350579638208,0.8689320812925353,0.6238599419593811,0.5425219535827637,0.8479289840759251,0.795101299450101,1581,
BulkFormer_37M,TCGA,20260724,True,complete,3481,2188,0.8736183564629344,0.6410005682023595,0.8718254857794782,0.8764115445214998,0.6176955103874207,0.5388935208320618,0.8411608662951975,0.776423539314439,1543,
BulkFormer_37M,TCGA,20260725,True,complete,3481,2188,0.8773792150573483,0.6513847095516739,0.8755545699024502,0.8775413641489707,0.5834732055664062,0.5278551578521729,0.8476895637668018,0.7863059482768329,1565,
BulkFormer_37M,OSDR,20260723,True,complete,2099,2188,0.7435079119777259,0.644250839382623,0.7360838583363074,0.7333183861215918,1.6479387283325195,0.9350836873054504,0.8358144397963991,0.8543792572139376,1337,
BulkFormer_37M,OSDR,20260724,True,complete,2099,2188,0.7591133741149637,0.6425411249979143,0.7524693290241109,0.7492120765532194,1.525047779083252,0.9022122025489808,0.8371034680283108,0.8537336037652337,1346,
BulkFormer_37M,OSDR,20260725,True,complete,2099,2188,0.7742929578426078,0.6396341304514344,0.770249084454596,0.7650957316573501,1.4399110078811646,0.8897820711135864,0.8356897391401675,0.8496342050444575,1342,
BulkFormer_50M,TCGA,20260723,True,complete,3481,2188,0.871990451025076,0.6656449257009506,0.8698450659274096,0.8719798674497857,0.6106100082397461,0.5531639456748962,0.855347198531205,0.8015752913852469,1581,
BulkFormer_50M,TCGA,20260724,True,complete,3481,2188,0.8729910301849881,0.6510260783741786,0.8711154788295896,0.8759957155588144,0.6226761341094971,0.5558148622512817,0.8462011143027661,0.7819004134125688,1543,
BulkFormer_50M,TCGA,20260725,True,complete,3481,2188,0.877556146667939,0.6602320623116936,0.8756574921414826,0.877375735153603,0.5811891555786133,0.5441812872886658,0.8526714246531929,0.7913364728768141,1565,
BulkFormer_50M,OSDR,20260723,True,complete,2099,2188,0.744652787265359,0.6585014924177522,0.7394832971977472,0.7337059306929695,1.6386630535125732,0.9571435451507568,0.8421650301106046,0.8593907707984192,1337,
BulkFormer_50M,OSDR,20260724,True,complete,2099,2188,0.7606312488072924,0.6606126818371754,0.7540298285457053,0.749756396681798,1.5169740915298462,0.9225410223007202,0.8383827224495416,0.8569217909046111,1346,
BulkFormer_50M,OSDR,20260725,True,complete,2099,2188,0.7724813466802343,0.6602724006980046,0.768414477299031,0.7626461841196471,1.4576653242111206,0.9058396220207214,0.8386225522532761,0.8549787891292644,1342,
BulkFormer_93M,TCGA,20260723,True,complete,3481,2188,0.8761712020018975,0.6953515592011983,0.8742305711575261,0.8754025256651092,0.5882340669631958,0.5473428964614868,0.8687448735695197,0.8108778912602111,1581,
BulkFormer_93M,TCGA,20260724,True,complete,3481,2188,0.875279400959008,0.6859941701571746,0.8734352886419946,0.8775954575951361,0.60857093334198,0.5492289066314697,0.8667790596376495,0.7968843482572278,1543,
BulkFormer_93M,TCGA,20260725,True,complete,3481,2188,0.8831069224675331,0.6935442738123545,0.8813755490149071,0.8811889525766738,0.5560299158096313,0.5310743451118469,0.8674445598101412,0.8040119547729727,1565,
BulkFormer_93M,OSDR,20260723,True,complete,2099,2188,0.7371743606513137,0.6801557419010118,0.7309149049076936,0.7250457597959143,1.7870426177978516,1.0113016366958618,0.8344889058590629,0.8566261209941556,1337,
BulkFormer_93M,OSDR,20260724,True,complete,2099,2188,0.7556897381558119,0.6824462441990448,0.7499534595631713,0.7425309737211007,1.6382544040679932,0.9715598821640016,0.8316631267070344,0.857195318894659,1346,
BulkFormer_93M,OSDR,20260725,True,complete,2099,2188,0.7651285291263988,0.6790519457961376,0.7609224252157861,0.7548396153225114,1.6485252380371094,0.9788877367973328,0.8358165399801322,0.8517330230463338,1342,
BulkFormer_127M,TCGA,20260723,True,complete,3481,2188,0.8912009149853443,0.7292147639904114,0.8895216404244463,0.8893970325016701,0.5197574496269226,0.5013083815574646,0.8878010508138932,0.8274287969228457,1581,
BulkFormer_127M,TCGA,20260724,True,complete,3481,2188,0.8878095562074497,0.7181059517004881,0.886187827576854,0.8888048556531297,0.5496818423271179,0.508047878742218,0.8832709738044489,0.8114014724623144,1543,
BulkFormer_127M,TCGA,20260725,True,complete,3481,2188,0.8932294377830424,0.7283181317487082,0.8915890017414668,0.8909724086506974,0.5110331177711487,0.4981833696365356,0.8890899447325707,0.8214468713527953,1565,
BulkFormer_127M,OSDR,20260723,True,complete,2099,2188,0.7436677161888341,0.6820680982291044,0.7371220348448115,0.7314571040343796,1.755826473236084,0.9920554757118224,0.8318976456876367,0.8495486814959871,1337,
BulkFormer_127M,OSDR,20260724,True,complete,2099,2188,0.7644178343316863,0.6851153056773368,0.7596411614431661,0.7513624975372386,1.5743615627288818,0.9396423101425172,0.8285437953824495,0.850848246394135,1346,
BulkFormer_127M,OSDR,20260725,True,complete,2099,2188,0.7820261839562319,0.6803864858819718,0.7776444870384038,0.7703413826172644,1.4697959423065186,0.9107693433761596,0.8340398045302032,0.8476653344341494,1342,
BulkFormer_147M,TCGA,20260723,True,complete,3481,2188,0.8938825120333691,0.7392408250345995,0.8921967882666222,0.8918690345274315,0.5059099793434143,0.488612949848175,0.8917085051016067,0.8328800728134403,1581,
BulkFormer_147M,TCGA,20260724,True,complete,3481,2188,0.8903053079482933,0.7268374523293527,0.8887278766544411,0.8905930947916818,0.5371416807174683,0.495295912027359,0.8866657033176996,0.8151991000185802,1543,
