method,macro_auroc,macro_auprc,macro_brier,n,responders,auroc,auprc,brier,log_loss,calibration_intercept,calibration_slope
raw,0.6535403540801552,0.5132098790895803,0.24486342637037006,239,80,0.6359276729559747,0.4156977144006233,0.22649707349020465,0.6420515080048884,-0.26177600844991505,0.46053625259994113
raw_atlas,0.6360653302872648,0.4755065679265988,0.25280886290549454,239,80,0.6407232704402516,0.4057991805917086,0.23206056527085786,0.6577683178291339,-0.30512899518129943,0.3998847355106167
atlas,0.6339256425165212,0.5038224741236639,0.30066400592968623,239,80,0.3898584905660377,0.3041067465327746,0.28078717429356714,0.7749606308809553,-0.9195756815501652,-0.36576492370066976
raw_txn_atlas,0.5144925506195553,0.3969363443563966,0.3485793109482378,239,80,0.5568396226415094,0.3688533800848922,0.26839410329941327,1.1549858681755203,-0.7646781968640554,-0.04565684524366266
txn_atlas,0.46623647140947927,0.3666529989913817,0.47052268850034273,239,80,0.34147012578616354,0.26936788649968785,0.49288149340545356,3.6404663366503027,-0.8509400020702821,-0.08027949692328112
txn,0.41031470391591923,0.3445583058208037,0.4817886046482398,239,80,0.4156446540880503,0.29237255669696394,0.4937421830665033,3.6581382451475437,-0.7966983251773357,-0.04272008578657542
