method,reference,delta_auroc,delta_ci_low,delta_ci_high,bootstrap_valid
txn_context_mean,raw_common_topvar,-0.04875283446712009,-0.10382550126205167,0.0077361503373787185,3000
txn_hidden_all,raw_common_topvar,-0.2438672438672438,-0.3771446399815965,-0.10044518747253198,3000
hallmark_common,raw_common_topvar,-0.012368583797155108,-0.058732917700308994,0.02927079821185497,3000
txn_completed_topvar,raw_common_topvar,0.041640898783755986,0.002177093059445923,0.07820682367149757,3000
txn_completed_hallmark,raw_common_topvar,-0.029684601113172393,-0.08150919887221254,0.017096676153610477,3000
