analysis,method,held_out_cohort,C,inner_macro_auroc,inner_folds,selected
four_cohort_loco,txn_completed_topvar,Hugo,10.0,0.5961015517689424,3,False
four_cohort_loco,txn_completed_topvar,Riaz,0.01,0.5749864100891499,3,True
four_cohort_loco,txn_completed_topvar,Riaz,0.1,0.5216156180197276,3,False
four_cohort_loco,txn_completed_topvar,Riaz,1.0,0.5003595149143094,3,False
four_cohort_loco,txn_completed_topvar,Riaz,10.0,0.48883798849552274,3,False
four_cohort_loco,txn_completed_topvar,Rose,0.01,0.594864146693415,3,True
four_cohort_loco,txn_completed_topvar,Rose,0.1,0.5331204026325977,3,False
four_cohort_loco,txn_completed_topvar,Rose,1.0,0.5138756907049591,3,False
four_cohort_loco,txn_completed_topvar,Rose,10.0,0.508902615000176,3,False
four_cohort_loco,txn_completed_hallmark,Gide,0.01,0.5615286859815761,3,True
four_cohort_loco,txn_completed_hallmark,Gide,0.1,0.5593151878191972,3,False
four_cohort_loco,txn_completed_hallmark,Gide,1.0,0.5304992734369615,3,False
four_cohort_loco,txn_completed_hallmark,Gide,10.0,0.4306027556361669,3,False
four_cohort_loco,txn_completed_hallmark,Hugo,0.01,0.6323223886037117,3,False
four_cohort_loco,txn_completed_hallmark,Hugo,0.1,0.6658768186374266,3,True
four_cohort_loco,txn_completed_hallmark,Hugo,1.0,0.6215037528644277,3,False
four_cohort_loco,txn_completed_hallmark,Hugo,10.0,0.5524621001191332,3,False
four_cohort_loco,txn_completed_hallmark,Riaz,0.01,0.5161117041254027,3,False
four_cohort_loco,txn_completed_hallmark,Riaz,0.1,0.6654346794757754,3,False
four_cohort_loco,txn_completed_hallmark,Riaz,1.0,0.694305086085908,3,True
four_cohort_loco,txn_completed_hallmark,Riaz,10.0,0.669100990333867,3,False
four_cohort_loco,txn_completed_hallmark,Rose,0.01,0.47408404603526555,3,False
four_cohort_loco,txn_completed_hallmark,Rose,0.1,0.5426908457396262,3,False
four_cohort_loco,txn_completed_hallmark,Rose,1.0,0.5434440221025586,3,True
four_cohort_loco,txn_completed_hallmark,Rose,10.0,0.4947198465491149,3,False
melanoma_loco,txn_context_mean,Gide,0.01,0.28558362369337975,2,False
melanoma_loco,txn_context_mean,Gide,0.1,0.30275842044134726,2,False
melanoma_loco,txn_context_mean,Gide,1.0,0.33212833914053425,2,False
melanoma_loco,txn_context_mean,Gide,10.0,0.3483739837398374,2,True
melanoma_loco,txn_context_mean,Hugo,0.01,0.5142923133776792,2,False
melanoma_loco,txn_context_mean,Hugo,0.1,0.4980968218773097,2,False
melanoma_loco,txn_context_mean,Hugo,1.0,0.5248152254249816,2,False
melanoma_loco,txn_context_mean,Hugo,10.0,0.542230229120473,2,True
melanoma_loco,txn_context_mean,Riaz,0.01,0.36314935064935067,2,False
melanoma_loco,txn_context_mean,Riaz,0.1,0.37424242424242427,2,False
melanoma_loco,txn_context_mean,Riaz,1.0,0.36682900432900434,2,False
melanoma_loco,txn_context_mean,Riaz,10.0,0.3791666666666667,2,True
melanoma_loco,txn_hidden_all,Gide,0.01,0.26714576074332175,2,False
melanoma_loco,txn_hidden_all,Gide,0.1,0.25904471544715446,2,False
melanoma_loco,txn_hidden_all,Gide,1.0,0.2674361207897793,2,False
melanoma_loco,txn_hidden_all,Gide,10.0,0.2800232288037166,2,True
melanoma_loco,txn_hidden_all,Hugo,0.01,0.6054046563192905,2,True
melanoma_loco,txn_hidden_all,Hugo,0.1,0.5849593495934959,2,False
melanoma_loco,txn_hidden_all,Hugo,1.0,0.5783536585365854,2,False
melanoma_loco,txn_hidden_all,Hugo,10.0,0.5720436067997043,2,False
melanoma_loco,txn_hidden_all,Riaz,0.01,0.4341991341991342,2,False
melanoma_loco,txn_hidden_all,Riaz,0.1,0.4402056277056277,2,False
melanoma_loco,txn_hidden_all,Riaz,1.0,0.44399350649350644,2,False
melanoma_loco,txn_hidden_all,Riaz,10.0,0.44475108225108223,2,True
melanoma_loco,raw_common_topvar,Gide,0.01,0.4735627177700348,2,False
melanoma_loco,raw_common_topvar,Gide,0.1,0.4940040650406504,2,True
melanoma_loco,raw_common_topvar,Gide,1.0,0.4903455284552845,2,False
