analysis,method,scope,cohort,n,responders,auroc,auprc,balanced_accuracy,brier,prevalence,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,bootstrap_valid
four_cohort_loco,txn_context_mean,held_out_cohort,Gide,73,40,0.4939393939393939,0.5599396094864686,0.5,0.5479452054794517,0.547945205479452,0.3533224085365853,0.6261795781957072,0.4218038699488023,0.7235883877494115,1000
four_cohort_loco,txn_context_mean,held_out_cohort,Hugo,26,14,0.21428571428571425,0.4045027534998787,0.2976190476190476,0.5266942738542365,0.5384615384615384,0.04729763700351934,0.4286383928571428,0.2596054528748499,0.6318142548241232,1000
four_cohort_loco,txn_context_mean,held_out_cohort,Riaz,51,10,0.36097560975609755,0.17433814966196864,0.4219512195121951,0.6171604753707213,0.19607843137254902,0.16666666666666669,0.5704279715762273,0.08609440213605318,0.38338630968778636,1000
four_cohort_loco,txn_context_mean,held_out_cohort,Rose,89,16,0.5565068493150684,0.34556188444855324,0.5,0.17976979436759502,0.1797752808988764,0.38261048173096546,0.7287599364069952,0.15948739205690282,0.5544700592472136,1000
four_cohort_loco,txn_hidden_all,held_out_cohort,Gide,73,40,0.5515151515151515,0.5522834979149167,0.5,0.5477533880658555,0.547945205479452,0.4030430970837948,0.6825117731367731,0.4188432149588869,0.7171405137165128,1000
four_cohort_loco,txn_hidden_all,held_out_cohort,Hugo,26,14,0.26785714285714285,0.45856119505832016,0.4583333333333333,0.5481111734451974,0.5384615384615384,0.07142857142857142,0.502960372960373,0.29040942398562536,0.7263055838210636,1000
four_cohort_loco,txn_hidden_all,held_out_cohort,Riaz,51,10,0.5097560975609756,0.22916307260713675,0.5036585365853659,0.30299158724507275,0.19607843137254902,0.3109555340223945,0.7073289515362685,0.11312553867700925,0.4573344640398041,1000
four_cohort_loco,txn_hidden_all,held_out_cohort,Rose,89,16,0.48030821917808214,0.18266940937444265,0.4559075342465753,0.2534131790992581,0.1797752808988764,0.3062915057915057,0.6301515355000449,0.10843646966812608,0.3200945059285415,1000
four_cohort_loco,raw_common_topvar,held_out_cohort,Gide,73,40,0.6916666666666667,0.7244173838779077,0.556060606060606,0.22928267088808196,0.547945205479452,0.5674467418546366,0.7992147575493611,0.5841456226918383,0.8446056322951354,1000
four_cohort_loco,raw_common_topvar,held_out_cohort,Hugo,26,14,0.5535714285714285,0.6366692830978545,0.4464285714285714,0.26943722285624916,0.5384615384615384,0.32116792929292926,0.7758080808080808,0.4192119739663189,0.8663796640527761,1000
four_cohort_loco,raw_common_topvar,held_out_cohort,Riaz,51,10,0.6951219512195121,0.40293425443475206,0.573170731707317,0.3900120721514336,0.19607843137254902,0.5078306878306879,0.8512864269876464,0.1719230136829553,0.691175507679455,1000
four_cohort_loco,raw_common_topvar,held_out_cohort,Rose,89,16,0.6738013698630136,0.2888185949478066,0.5214041095890412,0.15644728542247488,0.1797752808988764,0.5318161764705883,0.8178866283355447,0.17405345784603973,0.5058340822267311,1000
four_cohort_loco,hallmark_common,held_out_cohort,Gide,73,40,0.5303030303030303,0.5588894972470666,0.5053030303030303,0.2521770354048283,0.547945205479452,0.38813296054675367,0.6706493506493507,0.4279422610874921,0.7199156763086384,1000
four_cohort_loco,hallmark_common,held_out_cohort,Hugo,26,14,0.4583333333333333,0.5072045805434985,0.44642857142857145,0.2773491487323895,0.5384615384615384,0.22609126984126984,0.6964285714285714,0.34218991761175266,0.7925196839694122,1000
four_cohort_loco,hallmark_common,held_out_cohort,Riaz,51,10,0.551219512195122,0.2961406505339771,0.573170731707317,0.4669858563626968,0.19607843137254902,0.3477191558441559,0.7629912850307587,0.12810461837806877,0.6092657131415598,1000
four_cohort_loco,hallmark_common,held_out_cohort,Rose,89,16,0.666095890410959,0.3379942121793106,0.4931506849315068,0.14164919125143605,0.1797752808988764,0.4876132561132561,0.8318016474266474,0.1922619675037237,0.5959267316542031,1000
four_cohort_loco,txn_completed_topvar,held_out_cohort,Gide,73,40,0.6931818181818182,0.7355258875923459,0.5685606060606061,0.2284002670010873,0.547945205479452,0.5712616104476569,0.801051051051051,0.6043611220303293,0.8497056135805726,1000
four_cohort_loco,txn_completed_topvar,held_out_cohort,Hugo,26,14,0.4880952380952381,0.5881096727735382,0.48214285714285715,0.2777972615308917,0.5384615384615384,0.274343487394958,0.6964420995670996,0.3820625686116117,0.822239805023053,1000
four_cohort_loco,txn_completed_topvar,held_out_cohort,Riaz,51,10,0.6926829268292684,0.41229640729640726,0.5609756097560976,0.4047628280246968,0.19607843137254902,0.49562859443294227,0.8617329335414441,0.18084265719546538,0.6970522058866312,1000
four_cohort_loco,txn_completed_topvar,held_out_cohort,Rose,89,16,0.6703767123287672,0.28576277218558405,0.514554794520548,0.15836558953850724,0.1797752808988764,0.5233943446871528,0.8098217854763491,0.17472436055007728,0.5122842700918705,1000
four_cohort_loco,txn_completed_hallmark,held_out_cohort,Gide,73,40,0.531060606060606,0.5592601348764901,0.5053030303030303,0.2520470776497607,0.547945205479452,0.3881370656370656,0.6715436760901698,0.43145947691887043,0.7229578552901897,1000
four_cohort_loco,txn_completed_hallmark,held_out_cohort,Hugo,26,14,0.4583333333333333,0.5072045805434985,0.44642857142857145,0.27629390216827276,0.5384615384615384,0.22609126984126984,0.6964285714285714,0.3421096445824707,0.7908325461158656,1000
four_cohort_loco,txn_completed_hallmark,held_out_cohort,Riaz,51,10,0.5536585365853659,0.2971378015311281,0.573170731707317,0.47845680065186397,0.19607843137254902,0.3491971207087486,0.7611677631578948,0.12771782889082745,0.6072555833138681,1000
four_cohort_loco,txn_completed_hallmark,held_out_cohort,Rose,89,16,0.6618150684931507,0.3389204924795718,0.4931506849315068,0.1457798316865283,0.1797752808988764,0.4883803368585977,0.8308270676691729,0.19516882161494284,0.5902085354212481,1000
melanoma_loco,txn_context_mean,held_out_cohort,Gide,73,40,0.4795454545454545,0.5212412553061805,0.5,0.5479450227402505,0.547945205479452,0.3352956608054453,0.6141609477816372,0.39955179196255886,0.6811333721748782,1000
melanoma_loco,txn_context_mean,held_out_cohort,Hugo,26,14,0.23809523809523808,0.41373445109429086,0.27976190476190477,0.7052093756518393,0.5384615384615384,0.047572362278244615,0.4750297619047619,0.26665139649317926,0.6602931200614518,1000
melanoma_loco,txn_context_mean,held_out_cohort,Riaz,51,10,0.6097560975609756,0.2529887039175137,0.6573170731707317,0.4828812715989308,0.19607843137254902,0.43630820399113085,0.7760191197691197,0.1269598799262424,0.5003163476016844,1000
melanoma_loco,txn_hidden_all,held_out_cohort,Gide,73,40,0.55,0.5604276486482416,0.5136363636363637,0.4023121371375722,0.547945205479452,0.40990902736592383,0.6839378583128584,0.4261819612091858,0.7294484012613724,1000
melanoma_loco,txn_hidden_all,held_out_cohort,Hugo,26,14,0.369047619047619,0.5021377865340713,0.48214285714285715,0.31950388436609545,0.5384615384615384,0.15151515151515152,0.5818181818181818,0.30572613805631704,0.7593953821928722,1000
melanoma_loco,txn_hidden_all,held_out_cohort,Riaz,51,10,0.44878048780487806,0.18743680611327668,0.4292682926829269,0.3344988879096131,0.19607843137254902,0.26160894843276034,0.6386972402597403,0.09569664670719753,0.3554394272863886,1000
melanoma_loco,raw_common_topvar,held_out_cohort,Gide,73,40,0.5530303030303031,0.5763644696704353,0.556060606060606,0.28924684215314667,0.547945205479452,0.41775991792065664,0.6818523068523069,0.45063543879919016,0.72886947129657,1000
melanoma_loco,raw_common_topvar,held_out_cohort,Hugo,26,14,0.5416666666666666,0.6481180525823382,0.5357142857142857,0.3410385375290313,0.5384615384615384,0.31937869822485204,0.7637642045454545,0.4204474872880973,0.8524768227119571,1000
melanoma_loco,raw_common_topvar,held_out_cohort,Riaz,51,10,0.578048780487805,0.2531819425784943,0.5841463414634147,0.38581536182696674,0.19607843137254902,0.3814021164021164,0.7611364050264068,0.1279762815492128,0.5063995141216084,1000
melanoma_loco,hallmark_common,held_out_cohort,Gide,73,40,0.4712121212121212,0.5270438363158082,0.4871212121212122,0.2560181741573479,0.547945205479452,0.33580837087087084,0.6073739144217868,0.40287503978034467,0.6776982228197632,1000
melanoma_loco,hallmark_common,held_out_cohort,Hugo,26,14,0.3392857142857143,0.4496440114507342,0.47619047619047616,0.28293712523618814,0.5384615384615384,0.13333333333333333,0.6071898496240602,0.2911583902473491,0.7062936272265317,1000
melanoma_loco,hallmark_common,held_out_cohort,Riaz,51,10,0.6,0.3469531857031857,0.524390243902439,0.33490619802937743,0.19607843137254902,0.3853470919324578,0.7863782051282051,0.14239821103793596,0.6146444948194923,1000
melanoma_loco,txn_completed_topvar,held_out_cohort,Gide,73,40,0.5136363636363637,0.5529443511546543,0.5602272727272727,0.3268580201958728,0.547945205479452,0.37243936454038323,0.6416694947209653,0.4310980114746594,0.7006085091291392,1000
melanoma_loco,txn_completed_topvar,held_out_cohort,Hugo,26,14,0.5476190476190476,0.6055075301124808,0.5357142857142857,0.3426591025239869,0.5384615384615384,0.32738095238095244,0.7757575757575758,0.39275938684244605,0.8522201022017197,1000
melanoma_loco,txn_completed_topvar,held_out_cohort,Riaz,51,10,0.5756097560975609,0.2429469226425748,0.5597560975609757,0.40672636069485235,0.19607843137254902,0.38652742669362994,0.7666773504273504,0.12277147264188622,0.4821900607628193,1000
melanoma_loco,txn_completed_hallmark,held_out_cohort,Gide,73,40,0.4696969696969697,0.5264701443337407,0.4871212121212122,0.25601358735439705,0.547945205479452,0.33631350786523195,0.6088495794161306,0.4017329092417796,0.676854110103873,1000
melanoma_loco,txn_completed_hallmark,held_out_cohort,Hugo,26,14,0.34523809523809523,0.45152371069885444,0.47619047619047616,0.2827407161136613,0.5384615384615384,0.13681547619047618,0.6144042232277527,0.2954208187645688,0.7063784279819089,1000
melanoma_loco,txn_completed_hallmark,held_out_cohort,Riaz,51,10,0.6073170731707317,0.35356546231546226,0.524390243902439,0.33601683124073445,0.19607843137254902,0.38959235209235205,0.7922077922077921,0.1435835626123594,0.6203861387319579,1000
