cohort	evaluation_sample_id	archive_accession	present_in_archs4_pretraining_metadata
Rose	UCC_Rose_RS.03239039	GSM5362476	False
Rose	UCC_Rose_RS.03239040	GSM5362535	False
Rose	UCC_Rose_RS.03239041	GSM5362493	False
Rose	UCC_Rose_RS.03239042	GSM5362495	False
Rose	UCC_Rose_RS.03239043	GSM5362484	False
Rose	UCC_Rose_RS.03238953	GSM5362514	False
Rose	UCC_Rose_RS.03238954	GSM5362532	False
Rose	UCC_Rose_RS.03238955	GSM5362533	False
Rose	UCC_Rose_RS.03238956	GSM5362531	False
Rose	UCC_Rose_RS.03238957	GSM5362505	False
Rose	UCC_Rose_RS.03238958	GSM5362548	False
Rose	UCC_Rose_RS.03238959	GSM5362470	False
Rose	UCC_Rose_RS.03238960	GSM5362464	False
Rose	UCC_Rose_RS.03238961	GSM5362485	False
Rose	UCC_Rose_RS.03238962	GSM5362546	False
Rose	UCC_Rose_RS.03238963	GSM5362516	False
Rose	UCC_Rose_RS.03238964	GSM5362511	False
Rose	UCC_Rose_RS.03238965	GSM5362530	False
Rose	UCC_Rose_RS.03238966	GSM5362468	False
Rose	UCC_Rose_RS.03238967	GSM5362467	False
Rose	UCC_Rose_RS.03238968	GSM5362482	False
Rose	UCC_Rose_RS.03238969	GSM5362481	False
Rose	UCC_Rose_RS.03238970	GSM5362475	False
Rose	UCC_Rose_RS.03238971	GSM5362527	False
Rose	UCC_Rose_RS.03238972	GSM5362499	False
Rose	UCC_Rose_RS.03238973	GSM5362483	False
Rose	UCC_Rose_RS.03238974	GSM5362512	False
Rose	UCC_Rose_RS.03238975	GSM5362543	False
Rose	UCC_Rose_RS.03238976	GSM5362486	False
Rose	UCC_Rose_RS.03238977	GSM5362473	False
Rose	UCC_Rose_RS.03238978	GSM5362525	False
Rose	UCC_Rose_RS.03238979	GSM5362544	False
Rose	UCC_Rose_RS.03238980	GSM5362540	False
Rose	UCC_Rose_RS.03238981	GSM5362504	False
Rose	UCC_Rose_RS.03238982	GSM5362492	False
Rose	UCC_Rose_RS.03238983	GSM5362524	False
Rose	UCC_Rose_RS.03238984	GSM5362502	False
Rose	UCC_Rose_RS.03238985	GSM5362553	False
Rose	UCC_Rose_RS.03238986	GSM5362490	False
Rose	UCC_Rose_RS.03238987	GSM5362513	False
Rose	UCC_Rose_RS.03238988	GSM5362541	False
Rose	UCC_Rose_RS.03238989	GSM5362519	False
