,Txn_Jatin,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
Txn_Jatin,1.0,0.895,0.809,0.884,0.714,0.756,0.768,0.764,0.795
BRIDGE,0.895,1.0,0.826,0.88,0.695,0.738,0.754,0.762,0.785
scGPT,0.809,0.826,1.0,0.945,0.638,0.696,0.708,0.7,0.738
Geneformer,0.884,0.88,0.945,1.0,0.731,0.764,0.772,0.763,0.796
BulkFormer_37M,0.714,0.695,0.638,0.731,1.0,0.869,0.832,0.8,0.84
BulkFormer_50M,0.756,0.738,0.696,0.764,0.869,1.0,0.869,0.846,0.874
BulkFormer_93M,0.768,0.754,0.708,0.772,0.832,0.869,1.0,0.883,0.895
BulkFormer_127M,0.764,0.762,0.7,0.763,0.8,0.846,0.883,1.0,0.904
BulkFormer_147M,0.795,0.785,0.738,0.796,0.84,0.874,0.895,0.904,1.0
