panel_size,signature,genes,pearson,spearman,rmse,top_quartile_auroc,top_quartile_auprc
1000,DNA Repair,131,0.43747747,0.481445242211787,6.2760987,0.7244741410634261,0.36105114749426037
1000,Inflammatory Response,175,0.4183555,0.4179066983217486,4.093832,0.7038290193424688,0.47532324025189576
1000,IL-6/JAK/STAT3 Signaling,70,0.3435881,0.3031079546631226,5.3900313,0.6234377261979444,0.36910857372102446
1000,Interferon Gamma Response,149,0.055050876,0.054004720848171296,4.7638836,0.5278373611706946,0.29806398813077034
1000,E2F Targets,183,0.035695605,0.03588456375724548,4.359391,0.4119741410634261,0.1970977797167191
1000,G2-M Checkpoint,180,0.025868338,0.03606489337957195,3.9167037,0.4798741875483291,0.20565916074922258
1000,Apoptosis,142,-0.0975208,-0.12309676280455757,5.115626,0.421223742086139,0.19406464875780144
1000,TNF-alpha Signaling via NF-kB,183,-0.21549392,-0.24086655631264176,4.6814737,0.35881274799411156,0.18660302278119645
1000,Hypoxia,179,-0.27553737,-0.2643657822117878,3.1961122,0.26914433075106675,0.15204234241324416
1000,Epithelial Mesenchymal Transition,187,-0.7384591,-0.7403359520769424,3.2087097,0.14308316527417653,0.15110453308805252
