cohort	evaluation_sample_id	archive_accession
Rose	UCC_Rose_RS.03238958	GSM5362548
Rose	UCC_Rose_RS.03238959	GSM5362470
Rose	UCC_Rose_RS.03238960	GSM5362464
Rose	UCC_Rose_RS.03238961	GSM5362485
Rose	UCC_Rose_RS.03238962	GSM5362546
Rose	UCC_Rose_RS.03238963	GSM5362516
Rose	UCC_Rose_RS.03238964	GSM5362511
Rose	UCC_Rose_RS.03238965	GSM5362530
Rose	UCC_Rose_RS.03238966	GSM5362468
Rose	UCC_Rose_RS.03238967	GSM5362467
Rose	UCC_Rose_RS.03238968	GSM5362482
Rose	UCC_Rose_RS.03238969	GSM5362481
Rose	UCC_Rose_RS.03238970	GSM5362475
Rose	UCC_Rose_RS.03238971	GSM5362527
Rose	UCC_Rose_RS.03238972	GSM5362499
Rose	UCC_Rose_RS.03238973	GSM5362483
Rose	UCC_Rose_RS.03238974	GSM5362512
Rose	UCC_Rose_RS.03238975	GSM5362543
Rose	UCC_Rose_RS.03238976	GSM5362486
Rose	UCC_Rose_RS.03238977	GSM5362473
Rose	UCC_Rose_RS.03238978	GSM5362525
Rose	UCC_Rose_RS.03238979	GSM5362544
Rose	UCC_Rose_RS.03238980	GSM5362540
Rose	UCC_Rose_RS.03238981	GSM5362504
Rose	UCC_Rose_RS.03238982	GSM5362492
Rose	UCC_Rose_RS.03238983	GSM5362524
Rose	UCC_Rose_RS.03238984	GSM5362502
Rose	UCC_Rose_RS.03238985	GSM5362553
Rose	UCC_Rose_RS.03238986	GSM5362490
Rose	UCC_Rose_RS.03238987	GSM5362513
Rose	UCC_Rose_RS.03238988	GSM5362541
Rose	UCC_Rose_RS.03238989	GSM5362519
Rose	UCC_Rose_RS.03238990	GSM5362538
Rose	UCC_Rose_RS.03238991	GSM5362491
Rose	UCC_Rose_RS.03238992	GSM5362520
Rose	UCC_Rose_RS.03238993	GSM5362472
Rose	UCC_Rose_RS.03238994	GSM5362539
Rose	UCC_Rose_RS.03238995	GSM5362517
Rose	UCC_Rose_RS.03238996	GSM5362480
Rose	UCC_Rose_RS.03238997	GSM5362551
Gide	1_ipiPD1_PRE	ERR2208888
Gide	2_ipiPD1_PRE	ERR2208898
Gide	6_ipiPD1_PRE	ERR2208924
Gide	7_ipiPD1_PRE	ERR3262562
Gide	8_ipiPD1_PRE	ERR2208926
