model,panel,mask_seed,fold,auroc,f1,balanced_accuracy
BulkFormer_50M,5_cancer,20260724,1,0.9964629421322335,0.996066089693155,0.9746156730408699
BulkFormer_50M,5_cancer,20260724,2,0.999001672872484,0.9945440374123149,0.947493389455507
BulkFormer_50M,5_cancer,20260724,3,0.9995005257623555,0.9968553459119497,0.9666666666666667
BulkFormer_50M,5_cancer,20260724,4,0.9858615293292321,0.9976580796252927,0.9741379310344828
BulkFormer_50M,5_cancer,20260724,5,0.9991200571962823,0.9945184025058731,0.962561183523071
