benchmark,metric,models_available,status,ESM2_PCA512_prior,Txn_Jatin,Txn_Jatin_contextual,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
POMBE all_genes sum,AUROC,11/11,complete,**0.6440**,0.6237,0.6399,0.4900,0.5650,0.5227,0.5453,0.5290,0.5519,0.5523,0.5728
POMBE all_genes sum,AUPRC,11/11,complete,**0.1496**,0.1385,0.1451,0.0922,0.1163,0.0942,0.1027,0.0967,0.1023,0.1060,0.1135
POMBE all_genes sum,PR@10,11/11,complete,0.1333,0.1000,**0.2333**,0.1333,0.1333,0.0333,0.0667,0.0667,0.1000,0.0667,0.1333
POMBE intersect concat,AUROC,11/11,complete,0.6193,0.6208,**0.6280**,0.5367,0.5474,0.5099,0.5600,0.5327,0.5239,0.5567,0.5443
POMBE intersect concat,AUPRC,11/11,complete,0.1517,**0.1519**,0.1473,0.1113,0.1257,0.1085,0.1256,0.1095,0.1108,0.1218,0.1140
POMBE intersect concat,PR@10,11/11,complete,**0.2333**,0.2000,0.0667,0.2000,0.2000,0.0667,0.1667,0.0667,0.0667,0.0667,0.0333
POMBE intersect product,AUROC,11/11,complete,0.5795,0.5807,**0.5992**,0.5456,0.5139,0.4757,0.5771,0.5596,0.5699,0.5702,0.5896
POMBE intersect product,AUPRC,11/11,complete,0.1302,0.1305,**0.1386**,0.1154,0.1172,0.0998,0.1331,0.1186,0.1242,0.1294,0.1279
POMBE intersect product,PR@10,11/11,complete,0.1333,0.1333,0.0667,0.1667,0.2000,0.2000,0.1000,0.0333,0.1667,**0.2333**,0.0000
POMBE intersect sum,AUROC,11/11,complete,0.6197,**0.6223**,0.6217,0.5375,0.5601,0.5271,0.5642,0.5465,0.5553,0.5545,0.5905
POMBE intersect sum,AUPRC,11/11,complete,0.1602,**0.1604**,0.1548,0.1138,0.1322,0.1141,0.1266,0.1196,0.1220,0.1264,0.1314
POMBE intersect sum,PR@10,11/11,complete,**0.2667**,0.2333,**0.2667**,0.1667,0.1667,0.0667,0.1000,0.0667,0.1000,0.2000,0.0667
SL all_genes concat,AUROC,11/11,complete,0.6791,**0.7364**,0.6925,0.5377,0.4934,0.6704,0.6985,0.6177,0.6051,0.7114,0.6417
SL all_genes concat,AUPRC,11/11,complete,0.2016,**0.2565**,0.1934,0.1176,0.0928,0.1691,0.2066,0.1473,0.1498,0.1979,0.1522
SL all_genes concat,PR@10,11/11,complete,0.2000,**0.5000**,0.3667,0.1333,0.0000,0.1667,0.2667,0.1333,0.1333,0.2333,0.2333
SL all_genes product,AUROC,11/11,complete,0.6340,0.5811,0.6082,0.5698,0.4890,0.5868,0.6046,0.5828,0.5810,0.6729,**0.6948**
SL all_genes product,AUPRC,11/11,complete,0.1590,0.1303,0.1577,0.1239,0.1008,0.1192,0.1244,0.1272,0.1451,0.1795,**0.1914**
SL all_genes product,PR@10,11/11,complete,**0.4333**,0.2667,0.3333,0.1333,0.1000,0.0000,0.0667,0.1333,0.2667,0.3000,0.1667
SL all_genes sum,AUROC,11/11,complete,0.7092,**0.7612**,0.6687,0.5307,0.4628,0.6928,0.6937,0.6311,0.6331,0.7069,0.6946
SL all_genes sum,AUPRC,11/11,complete,0.2410,**0.2493**,0.2159,0.1171,0.0878,0.1762,0.2180,0.1509,0.1617,0.1951,0.1786
SL all_genes sum,PR@10,11/11,complete,**0.4667**,0.3667,0.3667,0.0667,0.0667,0.1333,0.2667,0.2000,0.2333,0.2667,0.1667
SL intersect concat,AUROC,11/11,complete,0.7646,0.7927,**0.8040**,0.6109,0.5200,0.6319,0.6739,0.7089,0.6687,0.6871,0.7548
SL intersect concat,AUPRC,11/11,complete,0.2698,0.3084,**0.3372**,0.1272,0.0870,0.1204,0.1244,0.1929,0.1980,0.1292,0.2032
SL intersect concat,PR@10,11/11,complete,0.5000,0.5000,**0.5333**,0.0667,0.0333,0.2000,0.0333,0.3000,0.2333,0.1333,0.2333
SL intersect product,AUROC,11/11,complete,0.6093,0.6181,0.5825,0.6418,0.5379,0.5597,0.5368,0.6681,0.6422,0.6682,**0.7179**
SL intersect product,AUPRC,11/11,complete,0.1192,0.1197,0.1227,0.1110,0.0839,0.0930,0.0840,0.1596,0.1449,0.1256,**0.1849**
SL intersect product,PR@10,11/11,complete,0.1333,0.1000,0.1667,0.0667,0.0000,0.0333,0.0667,0.3000,0.2000,0.1333,**0.3333**
SL intersect sum,AUROC,11/11,complete,0.7937,**0.8411**,0.8403,0.6251,0.5396,0.6209,0.6436,0.7384,0.6818,0.7011,0.7389
SL intersect sum,AUPRC,11/11,complete,0.2694,**0.3256**,0.3202,0.1584,0.1165,0.1441,0.1220,0.2112,0.2195,0.1518,0.2198
SL intersect sum,PR@10,11/11,complete,**0.4333**,**0.4333**,**0.4333**,0.1667,0.1333,0.1667,0.0667,0.2000,0.3333,0.1333,0.3667
TF all_genes concat,AUROC,11/11,complete,**0.8661**,0.8646,0.8639,0.6545,0.6804,0.6135,0.5450,0.5569,0.5550,0.5571,0.5347
TF all_genes concat,AUPRC,11/11,complete,0.3762,**0.3799**,0.3714,0.1716,0.2092,0.1497,0.1128,0.1101,0.1151,0.1129,0.1052
TF all_genes concat,PR@10,11/11,complete,0.5333,0.5667,0.5333,0.2333,**0.6667**,0.4667,0.1667,0.0333,0.2667,0.1000,0.1000
TF all_genes product,AUROC,11/11,complete,0.6574,**0.6607**,0.6541,0.6327,0.5264,0.5776,0.5425,0.5614,0.5571,0.5592,0.5467
TF all_genes product,AUPRC,11/11,complete,0.1606,0.1614,**0.1624**,0.1365,0.1010,0.1170,0.1106,0.1099,0.1164,0.1133,0.1117
TF all_genes product,PR@10,11/11,complete,0.2000,0.2000,**0.2667**,0.0667,0.1333,0.1000,**0.2667**,0.0333,0.2333,0.1000,0.2000
TF all_genes sum,AUROC,11/11,complete,0.8694,0.8650,**0.8695**,0.6408,0.6749,0.6126,0.5399,0.5495,0.5604,0.5491,0.5190
TF all_genes sum,AUPRC,11/11,complete,0.3816,**0.3831**,0.3814,0.1573,0.2034,0.1415,0.1094,0.1085,0.1158,0.1116,0.1003
TF all_genes sum,PR@10,11/11,complete,0.5000,0.5000,0.5333,0.3000,**0.6333**,0.4000,0.2667,0.0667,0.2667,0.2000,0.2333
TF intersect concat,AUROC,11/11,complete,**0.8574**,0.8572,0.8560,0.6148,0.6572,0.6021,0.5406,0.5414,0.5599,0.5117,0.5302
TF intersect concat,AUPRC,11/11,complete,0.3837,**0.3849**,0.3729,0.1584,0.1914,0.1610,0.1179,0.1169,0.1194,0.1079,0.1140
TF intersect concat,PR@10,11/11,complete,0.5333,**0.5667**,**0.5667**,0.2000,0.5333,0.4333,0.1333,0.0333,0.1000,0.1333,0.0333
TF intersect product,AUROC,11/11,complete,**0.6571**,0.6509,0.6515,0.5988,0.5288,0.5689,0.5279,0.5464,0.5340,0.5088,0.5236
TF intersect product,AUPRC,11/11,complete,**0.1795**,0.1751,0.1746,0.1375,0.1130,0.1395,0.1145,0.1219,0.1146,0.1038,0.1106
TF intersect product,PR@10,11/11,complete,**0.3000**,0.2333,0.2667,0.0667,0.1000,0.2333,0.1000,0.0333,0.1333,0.0667,0.1000
TF intersect sum,AUROC,11/11,complete,0.8638,0.8602,**0.8645**,0.5922,0.6512,0.5908,0.5185,0.5187,0.5500,0.5069,0.5292
TF intersect sum,AUPRC,11/11,complete,0.4086,0.4065,**0.4197**,0.1463,0.1953,0.1475,0.1115,0.1123,0.1202,0.1053,0.1100
TF intersect sum,PR@10,11/11,complete,0.4667,0.4333,**0.5667**,0.2000,**0.5667**,0.2667,0.1667,0.0667,0.1333,0.0333,0.0667
