model,panel,mask_seed,fold,auroc,f1,balanced_accuracy
BulkFormer_147M,5_cancer,20260724,1,0.9960379952505937,0.9952755905511811,0.9738282714660667
BulkFormer_147M,5_cancer,20260724,2,0.9990016728724839,0.9937694704049844,0.9388726998003345
BulkFormer_147M,5_cancer,20260724,3,0.9995268138801261,0.997639653815893,0.975
BulkFormer_147M,5_cancer,20260724,4,0.9859020020506178,0.9976580796252927,0.9741379310344828
BulkFormer_147M,5_cancer,20260724,5,0.9991750536215145,0.9952978056426333,0.9713331133476324
