index,model,panel,gene_symbol,mean,std
9060,BulkFormer_147M,2_cancer,PECAM1,0.014625962861804733,0.0028564197306200777
12755,BulkFormer_147M,2_cancer,TEK,0.009631760548323367,0.007954870342948103
12394,BulkFormer_147M,2_cancer,STX11,0.0094053064043308,0.0008626577598896283
13024,BulkFormer_147M,2_cancer,TMEM100,0.0090546794295945,0.007723295162572473
2401,BulkFormer_147M,2_cancer,CLEC3B,0.008963745672638032,0.0037894341433729736
586,BulkFormer_147M,2_cancer,ANKRD1,0.008934336624034266,0.007742253049765704
11300,BulkFormer_147M,2_cancer,SFTPC,0.008808267962684767,0.0034968049288991595
10262,BulkFormer_147M,2_cancer,RAMP3,0.0087223146277417,0.008396989234551335
10859,BulkFormer_147M,2_cancer,RS1,0.008645118839040834,0.001945153440714524
4082,BulkFormer_147M,2_cancer,FABP4,0.0081577140387821,0.00550743971054739
5040,BulkFormer_147M,2_cancer,GPM6A,0.008082855404364068,0.002740155208397126
11334,BulkFormer_147M,2_cancer,SH2D3C,0.008020357612276032,0.0032514884964288315
256,BulkFormer_147M,2_cancer,ADAMTS8,0.007855889063855266,0.006349469854909344
4758,BulkFormer_147M,2_cancer,GDF10,0.007387451720515033,0.004214338020026576
12038,BulkFormer_147M,2_cancer,SOX17,0.007109586338692234,0.006847165941082351
4831,BulkFormer_147M,2_cancer,GIMAP8,0.0065564701888386,0.005714434687014241
749,BulkFormer_147M,2_cancer,AQP4,0.006525520758122766,0.002777028196165015
1504,BulkFormer_147M,2_cancer,C8B,0.006465112526882433,0.011197903373210383
6676,BulkFormer_147M,2_cancer,LIMS2,0.006456680506833433,0.0024295942418058594
1670,BulkFormer_147M,2_cancer,CAV1,0.006428407315068167,0.003349828361212502
2054,BulkFormer_147M,2_cancer,CDO1,0.006384404596871733,0.01105811313785814
14036,BulkFormer_147M,2_cancer,VEPH1,0.0061829105586639664,0.0026067395829520823
664,BulkFormer_147M,2_cancer,AOC3,0.0060364668160864,0.002812362255412225
3965,BulkFormer_147M,2_cancer,ESAM,0.006013740290489233,0.003258272461012861
5126,BulkFormer_147M,2_cancer,GPT2,0.005852057620179666,0.004425296245789786
11738,BulkFormer_147M,2_cancer,SLC51B,0.0055891213151706,0.007218878990184664
10956,BulkFormer_147M,2_cancer,S1PR1,0.005524645129540501,0.004380281719036103
342,BulkFormer_147M,2_cancer,ADRB1,0.005389310541265867,0.001663606084396071
1595,BulkFormer_147M,2_cancer,CAMP,0.005333850982570848,0.008999938622182407
343,BulkFormer_147M,2_cancer,ADRB2,0.005231806867054367,0.001966790827785633
2002,BulkFormer_147M,2_cancer,CDH5,0.005200695527415967,0.0015627501673512142
3806,BulkFormer_147M,2_cancer,EMCN,0.005184877141602466,0.005878334916032546
3668,BulkFormer_147M,2_cancer,EFNA3,0.005149778871804767,0.004636120600954964
6115,BulkFormer_147M,2_cancer,JPH4,0.0050759387233993,0.0015894650339230258
4380,BulkFormer_147M,2_cancer,FGR,0.004951018614198366,0.0011183212005981614
3657,BulkFormer_147M,2_cancer,EFCC1,0.004947834422062767,0.004154111721619301
10248,BulkFormer_147M,2_cancer,RAI2,0.004771783662348767,0.0033175898871897085
6768,BulkFormer_147M,2_cancer,LPL,0.004769159396808298,0.005467987184921326
12060,BulkFormer_147M,2_cancer,SPAAR,0.004736224174783133,0.0016359195234860232
2595,BulkFormer_147M,2_cancer,COLEC12,0.004696902485502366,0.004826607944630916
1674,BulkFormer_147M,2_cancer,CAVIN2,0.0046730746868805665,0.004593895630345597
6128,BulkFormer_147M,2_cancer,KANK3,0.004664782868477767,0.004058784241928236
7343,BulkFormer_147M,2_cancer,MFAP4,0.0046369845004660334,0.001726408718628781
10873,BulkFormer_147M,2_cancer,RSPO1,0.0046326543437709,0.004154992565255517
10435,BulkFormer_147M,2_cancer,RECQL4,0.004625960239590433,0.004828026235347983
373,BulkFormer_147M,2_cancer,AGER,0.0046185993009191,0.0017346295172099944
1981,BulkFormer_147M,2_cancer,CDCA8,0.004599984982363567,0.003279483155772181
5129,BulkFormer_147M,2_cancer,GPX3,0.0045466680522852,0.005552868846046585
10993,BulkFormer_147M,2_cancer,SAPCD2,0.004496645155878766,0.003375235910369357
9219,BulkFormer_147M,2_cancer,PID1,0.004449049984108561,0.0051285937763442925
10501,BulkFormer_147M,2_cancer,RGCC,0.004386627812913099,0.002062531423540165
6096,BulkFormer_147M,2_cancer,JAM2,0.0043003348023813665,0.004619065847089967
4096,BulkFormer_147M,2_cancer,FAM107A,0.004282170924822167,0.004638302609104422
13905,BulkFormer_147M,2_cancer,UPK3B,0.004260999127433766,0.005050177274424604
9351,BulkFormer_147M,2_cancer,PLAC9,0.0042175334656145,0.0036587299366618903
4886,BulkFormer_147M,2_cancer,GLIPR2,0.00413970552585058,0.0047176350541944375
13053,BulkFormer_147M,2_cancer,TMEM132A,0.004133431309210266,0.004846481617511587
14223,BulkFormer_147M,2_cancer,WIF1,0.004112695091040667,0.007123396853721543
9123,BulkFormer_147M,2_cancer,PGC,0.0040807461735307485,0.007030531233383164
5676,BulkFormer_147M,2_cancer,HYAL1,0.004055668087070929,0.004433300484083781
1460,BulkFormer_147M,2_cancer,BTNL9,0.004029138161833367,0.004811869063818099
9613,BulkFormer_147M,2_cancer,PPAT,0.0039409630451136,0.0016664592884714482
812,BulkFormer_147M,2_cancer,ARHGAP6,0.003878160816241033,0.0016434628354613978
823,BulkFormer_147M,2_cancer,ARHGEF15,0.003852170894031333,0.004327028988581819
7350,BulkFormer_147M,2_cancer,MFNG,0.003791016609045366,0.0018191236076715153
8769,BulkFormer_147M,2_cancer,PAICS,0.0037813178741328,0.004262624207943175
110,BulkFormer_147M,2_cancer,ACADL,0.00376804332272928,0.0032386143014000246
11301,BulkFormer_147M,2_cancer,SFTPD,0.0037623434271716327,0.004233982261965633
13933,BulkFormer_147M,2_cancer,USHBP1,0.0037420801005912333,0.006481472860216471
5619,BulkFormer_147M,2_cancer,HSD17B6,0.0036323840407721662,0.0013473501195006043
6640,BulkFormer_147M,2_cancer,LGI3,0.0036154539985461336,0.0029202220273839737
4374,BulkFormer_147M,2_cancer,FGFR4,0.0035904305486580998,0.004107206596832193
6056,BulkFormer_147M,2_cancer,ITIH5,0.0035720773611507,0.0014965081289667961
4442,BulkFormer_147M,2_cancer,FLVCR2,0.003551138439677267,0.004326109930483014
13291,BulkFormer_147M,2_cancer,TNNC1,0.0034685160181159337,0.003123865395765799
13225,BulkFormer_147M,2_cancer,TMOD1,0.0034580122549977307,0.00572304152281174
11700,BulkFormer_147M,2_cancer,SLC39A8,0.0034349764164872663,0.0023292619403054984
