model,panel,mask_seed,fold,auroc,f1,balanced_accuracy
BulkFormer_93M,5_cancer,20260724,1,0.9964754405699289,0.9952755905511811,0.9738282714660667
BulkFormer_93M,5_cancer,20260724,2,0.9991096001295128,0.9937694704049844,0.9388726998003345
BulkFormer_93M,5_cancer,20260724,3,0.9993690851735015,0.9968553459119497,0.9666666666666667
BulkFormer_93M,5_cancer,20260724,4,0.9859829474933894,0.9976580796252927,0.9741379310344828
BulkFormer_93M,5_cancer,20260724,5,0.9990100643458175,0.9945184025058731,0.962561183523071
