task,scope,method,reference,delta_auroc,auroc_ci_low,auroc_ci_high,delta_auprc,auprc_ci_low,auprc_ci_high,bootstrap_replicates
tf,all,Txn_Jatin,coexpression,0.27705084275901437,0.2615729424259641,0.2913947596189996,0.21252762699431885,0.19617827492267917,0.22937926615901819,2000
tf,all,Txn_plus_coexpression,coexpression,0.274743139099439,0.2598268476889108,0.28843426066644323,0.20778554690505593,0.1924197881864331,0.22394578887651498,2000
tf,immune,Txn_Jatin,coexpression,0.31429144958627037,0.06219736438859954,0.5522984983144344,0.21074961671258113,0.05006569587104729,0.4171909096571334,2000
tf,immune,Txn_plus_coexpression,coexpression,0.30283205638982535,0.05547042598835428,0.5344927980386148,0.19239925391896548,0.04331445583335898,0.3870158029666767,2000
sl,all,Txn_Jatin,coexpression,0.022448826902556143,-0.010844770789466164,0.054214012797319716,0.014403017478755723,-0.004146547347346725,0.03141261315697529,2000
sl,all,Txn_plus_coexpression,coexpression,0.02245230911037475,-0.009977730904417786,0.05421850309782923,0.016319560543383106,-0.002488048153103629,0.03343190886692447,2000
sl,immune,Txn_Jatin,coexpression,-0.126275,-0.25,0.0,-0.004160010887465365,-0.009398496240601503,0.0,2000
sl,immune,Txn_plus_coexpression,coexpression,-0.126275,-0.25,0.0,-0.004160010887465365,-0.009398496240601503,0.0,2000
