,Txn_Jatin,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
Txn_Jatin,0.0,0.10299999999999998,0.03400000000000003,0.030000000000000027,0.025000000000000022,0.030000000000000027,0.028000000000000025,0.031000000000000028,0.028000000000000025
BRIDGE,0.10299999999999998,0.0,0.04599999999999993,0.05400000000000005,0.05599999999999994,0.05699999999999994,0.05400000000000005,0.05900000000000005,0.05600000000000005
scGPT,0.03400000000000003,0.04599999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geneformer,0.030000000000000027,0.05400000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BulkFormer_37M,0.025000000000000022,0.05599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BulkFormer_50M,0.030000000000000027,0.05699999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BulkFormer_93M,0.028000000000000025,0.05400000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BulkFormer_127M,0.031000000000000028,0.05900000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BulkFormer_147M,0.028000000000000025,0.05600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
