level,role,claim,detail
INFO,Statistician,gene-set matching[full] AUROC,"{'Txn_Jatin': 0.639, 'BRIDGE': 0.645, 'scGPT': 0.615, 'Geneformer': 0.602, 'BulkFormer_37M': 0.559, 'BulkFormer_50M': 0.569, 'BulkFormer_93M': 0.568, 'BulkFormer_127M': 0.56, 'BulkFormer_147M': 0.582}"
WARN,Methodologist,GO temporal holdout,needs two dated GO snapshots (set GO_OLD/GO_NEW); skipped
PASS,ReproEng,Txn_Jatin model loaded,"epoch_00.pt, dim=512, genes=16057, device=cuda"
PASS,CompBio,Txn_Jatin sample embeddings,3481 samples x 512 dims; batch_size=8; bf16=True
PASS,ReproEng,BRIDGE model loaded,"best_model.pt, dim=512, genes=15165, device=cuda"
PASS,CompBio,BRIDGE sample embeddings,3481 samples x 512 dims; batch_size=8; bf16=True
WARN,CompBio,scGPT sample embeddings,skipped (single-cell pipeline): No module named 'scgpt'
WARN,CompBio,Geneformer sample embeddings,skipped: requires Geneformer tokeniser + EmbExtractor on rank-value pseudo-cells (see README caveat)
WARN,CompBio,BulkFormer_37M sample embeddings,skipped (wire encode() to your clone): 'NoneType' object has no attribute 'to'
WARN,CompBio,BulkFormer_50M sample embeddings,skipped (wire encode() to your clone): 'NoneType' object has no attribute 'to'
WARN,CompBio,BulkFormer_93M sample embeddings,skipped (wire encode() to your clone): 'NoneType' object has no attribute 'to'
WARN,CompBio,BulkFormer_127M sample embeddings,skipped (wire encode() to your clone): 'NoneType' object has no attribute 'to'
WARN,CompBio,BulkFormer_147M sample embeddings,skipped (wire encode() to your clone): 'NoneType' object has no attribute 'to'
INFO,Statistician,TCGA-cancer-type: best emb vs raw F1,emb=0.960 raw=0.972 (raw wins/ties)
PASS,ReproEng,Txn_Jatin model loaded,"epoch_00.pt, dim=512, genes=16057, device=cuda"
PASS,CompBio,Txn_Jatin sample embeddings,2099 samples x 512 dims; batch_size=8; bf16=True
PASS,ReproEng,BRIDGE model loaded,"best_model.pt, dim=512, genes=15165, device=cuda"
PASS,CompBio,BRIDGE sample embeddings,2099 samples x 512 dims; batch_size=8; bf16=True
WARN,CompBio,scGPT sample embeddings,skipped (single-cell pipeline): No module named 'scgpt'
WARN,CompBio,Geneformer sample embeddings,skipped: requires Geneformer tokeniser + EmbExtractor on rank-value pseudo-cells (see README caveat)
WARN,CompBio,BulkFormer_37M sample embeddings,skipped (wire encode() to your clone): 'NoneType' object has no attribute 'to'
WARN,CompBio,BulkFormer_50M sample embeddings,skipped (wire encode() to your clone): 'NoneType' object has no attribute 'to'
WARN,CompBio,BulkFormer_93M sample embeddings,skipped (wire encode() to your clone): 'NoneType' object has no attribute 'to'
WARN,CompBio,BulkFormer_127M sample embeddings,skipped (wire encode() to your clone): 'NoneType' object has no attribute 'to'
WARN,CompBio,BulkFormer_147M sample embeddings,skipped (wire encode() to your clone): 'NoneType' object has no attribute 'to'
INFO,Statistician,OSDR-spaceflight: best emb vs raw F1,emb=0.703 raw=0.817 (raw wins/ties)
INFO,CompBio,inter-model CCA computed,9 models
