task,variant,model,auroc_mean,auprc_mean,n_tasks,metric
TCGA-cancer-type (stratified),sample,PCA-64,0.9597,0.9971,1,F1-macro
TCGA-cancer-type (group),sample,PCA-64,0.9606,0.9972,1,F1-macro
TCGA-cancer-type (stratified),sample,PCA-64,0.9669,0.9976,1,F1-macro
TCGA-cancer-type (group),sample,PCA-64,0.9655,0.9976,1,F1-macro
TCGA-cancer-type (stratified),sample,Txn_Jatin-emb,0.9516,0.9966,1,F1-macro
TCGA-cancer-type (group),sample,Txn_Jatin-emb,0.9522,0.9966,1,F1-macro
TCGA-cancer-type (stratified),sample,Txn_Jatin-emb,0.959,0.9971,1,F1-macro
TCGA-cancer-type (group),sample,Txn_Jatin-emb,0.9601,0.9969,1,F1-macro
TCGA-cancer-type (stratified),sample,BRIDGE-emb,0.9514,0.9963,1,F1-macro
TCGA-cancer-type (group),sample,BRIDGE-emb,0.9504,0.9962,1,F1-macro
TCGA-cancer-type (stratified),sample,BRIDGE-emb,0.9565,0.997,1,F1-macro
TCGA-cancer-type (group),sample,BRIDGE-emb,0.9527,0.9964,1,F1-macro
OSDR-spaceflight (stratified),sample,raw_log1p_TPM,0.7044,0.8368,1,F1-macro
OSDR-spaceflight (group),sample,raw_log1p_TPM,0.5454,0.6809,1,F1-macro
OSDR-spaceflight (stratified),sample,raw_log1p_TPM,0.8167,0.8932,1,F1-macro
OSDR-spaceflight (group),sample,raw_log1p_TPM,0.6559,0.7056,1,F1-macro
OSDR-spaceflight (stratified),sample,PCA-64,0.7058,0.8219,1,F1-macro
OSDR-spaceflight (group),sample,PCA-64,0.5327,0.6721,1,F1-macro
OSDR-spaceflight (stratified),sample,PCA-64,0.6553,0.7202,1,F1-macro
OSDR-spaceflight (group),sample,PCA-64,0.5819,0.6459,1,F1-macro
OSDR-spaceflight (stratified),sample,Txn_Jatin-emb,0.6607,0.7887,1,F1-macro
OSDR-spaceflight (group),sample,Txn_Jatin-emb,0.4963,0.5842,1,F1-macro
OSDR-spaceflight (stratified),sample,Txn_Jatin-emb,0.7032,0.778,1,F1-macro
OSDR-spaceflight (group),sample,Txn_Jatin-emb,0.5765,0.6189,1,F1-macro
OSDR-spaceflight (stratified),sample,BRIDGE-emb,0.6717,0.7817,1,F1-macro
OSDR-spaceflight (group),sample,BRIDGE-emb,0.5232,0.5853,1,F1-macro
OSDR-spaceflight (stratified),sample,BRIDGE-emb,0.6794,0.7511,1,F1-macro
OSDR-spaceflight (group),sample,BRIDGE-emb,0.5632,0.5888,1,F1-macro
