model,panel,mask_seed,supported,samples,patients,oof_auroc,fold_auroc_mean,fold_auroc_std,fold_f1_mean,fold_balanced_accuracy_mean
BulkFormer_127M,2_cancer,20260723,True,1163,1019,0.9993093326426661,0.9994236493965675,0.0008748336182841845,0.9971578153913976,0.9880905936108902
BulkFormer_127M,5_cancer,20260723,True,3481,3116,0.9948184055326912,0.9951765942475268,0.006160697106619914,0.9957732971567929,0.9637017243461063
BulkFormer_127M,2_cancer,20260724,True,1163,1019,0.9994301994301994,0.9993919600165773,0.0009253132269047857,0.9976287709807432,0.9896756751125526
BulkFormer_127M,5_cancer,20260724,True,3481,3116,0.9970782595782596,0.9971633564136576,0.0031095090743878235,0.996083033409463,0.9683585410607378
BulkFormer_127M,2_cancer,20260725,True,1163,1019,0.9992402659069326,0.9992416961938936,0.0011166084482232123,0.9966764041015214,0.9850130983362119
BulkFormer_127M,5_cancer,20260725,True,3481,3116,0.993963468963469,0.9938801381000293,0.007568323096222422,0.9960832089557055,0.9670645322049797
