token_id,gene_symbol
394,AGL
395,AGMAT
396,AGMO
397,AGO1
398,AGO2
399,AGO3
400,AGO4
401,AGPAT1
402,AGPAT2
403,AGPAT3
404,AGPAT4
405,AGPAT5
406,AGPS
407,AGR2
408,AGR3
409,AGRN
410,AGRP
411,AGT
412,AGTPBP1
413,AGTR2
414,AGTRAP
415,AGXT
416,AGXT2
417,AHCTF1
418,AHCYL1
419,AHCYL2
420,AHDC1
421,AHI1
422,AHNAK
423,AHNAK2
424,AHR
425,AHRR
426,AHSA1
427,AHSG
428,AHSP
429,AICDA
430,AIDA
431,AIF1
432,AIF1L
433,AIFM1
434,AIFM2
435,AIFM3
436,AIG1
437,AIM2
438,AIMP1
439,AIMP2
440,AIP
441,AIPL1
442,AIRE
443,AIRN
444,AJAP1
445,AJM1
446,AJUBA
447,AK1
448,AK2
449,AK3
450,AK5
451,AK6
452,AK7
453,AK8
454,AK9
455,AKAIN1
456,AKAP1
457,AKAP10
458,AKAP11
459,AKAP12
460,AKAP13
461,AKAP14
462,AKAP17A
463,AKAP3
464,AKAP4
465,AKAP5
466,AKAP6
467,AKAP7
468,AKAP8
469,AKAP8L
470,AKAP9
471,AKIP1
472,AKIRIN1
473,AKIRIN2
474,AKNA
475,AKNAD1
476,AKR1A1
477,AKR1B1
478,AKR1D1
479,AKT1
480,AKT1S1
481,AKT2
482,AKT3
483,AKTIP
484,ALAD
485,ALAS1
486,ALAS2
487,ALB
488,ALCAM
489,ALDH16A1
490,ALDH18A1
491,ALDH1A2
492,ALDH1A3
493,ALDH1B1
494,ALDH1L1
495,ALDH1L2
496,ALDH2
497,ALDH3A1
498,ALDH3A2
499,ALDH3B1
500,ALDH4A1
501,ALDH5A1
502,ALDH6A1
503,ALDH7A1
504,ALDH8A1
505,ALDH9A1
506,ALDOA
507,ALDOB
508,ALDOC
509,ALG11
510,ALG12
511,ALG13
512,ALG14
513,ALG2
514,ALG3
515,ALG5
516,ALG6
517,ALG8
518,ALG9
519,ALK
520,ALKAL1
521,ALKAL2
522,ALKBH1
523,ALKBH2
524,ALKBH3
525,ALKBH4
526,ALKBH5
527,ALKBH6
528,ALKBH7
529,ALKBH8
530,ALLC
531,ALMS1
532,ALOX12
533,ALOX12B
534,ALOX15
535,ALOX5
536,ALOX5AP
537,ALOXE3
538,ALPK1
539,ALPK2
540,ALPK3
541,ALPL
542,ALS2
543,ALS2CL
544,ALX1
545,ALX3
546,ALX4
547,AMACR
548,AMBN
549,AMBP
550,AMBRA1
551,AMDHD1
552,AMDHD2
553,AMER1
554,AMER2
555,AMER3
556,AMFR
557,AMH
558,AMHR2
559,AMIGO1
560,AMIGO2
561,AMIGO3
562,AMMECR1
563,AMMECR1L
564,AMN
565,AMN1
566,AMOT
567,AMOTL1
568,AMOTL2
569,AMPD1
570,AMPD2
571,AMPD3
572,AMPH
573,AMT
574,AMTN
575,AMZ1
576,AMZ2
577,ANAPC1
578,ANAPC10
579,ANAPC11
580,ANAPC13
581,ANAPC15
582,ANAPC16
583,ANAPC2
584,ANAPC4
585,ANAPC5
586,ANAPC7
587,ANGEL1
588,ANGEL2
589,ANGPT1
590,ANGPT2
591,ANGPT4
592,ANGPTL1
593,ANGPTL2
594,ANGPTL3
595,ANGPTL4
596,ANGPTL6
597,ANGPTL7
598,ANGPTL8
599,ANK1
600,ANK2
601,ANK3
602,ANKAR
603,ANKDD1A
604,ANKDD1B
605,ANKEF1
606,ANKFN1
607,ANKFY1
608,ANKIB1
609,ANKK1
610,ANKLE1
611,ANKLE2
612,ANKMY1
613,ANKMY2
614,ANKRA2
615,ANKRD1
616,ANKRD10
617,ANKRD11
618,ANKRD12
619,ANKRD13A
620,ANKRD13B
621,ANKRD13C
622,ANKRD13D
623,ANKRD16
624,ANKRD17
625,ANKRD2
626,ANKRD22
627,ANKRD23
628,ANKRD24
629,ANKRD26
630,ANKRD27
631,ANKRD28
632,ANKRD29
633,ANKRD31
634,ANKRD33
635,ANKRD33B
636,ANKRD34A
637,ANKRD34B
638,ANKRD34C
639,ANKRD35
640,ANKRD37
641,ANKRD39
642,ANKRD40
643,ANKRD40CL
644,ANKRD42
645,ANKRD44
646,ANKRD45
647,ANKRD46
648,ANKRD49
649,ANKRD50
650,ANKRD52
651,ANKRD53
652,ANKRD54
653,ANKRD55
654,ANKRD6
655,ANKRD60
656,ANKRD61
657,ANKRD63
658,ANKRD65
659,ANKRD66
660,ANKRD7
661,ANKRD9
662,ANKS1B
663,ANKS3
664,ANKS4B
665,ANKS6
666,ANKUB1
667,ANKZF1
668,ANLN
669,ANO1
670,ANO10
671,ANO2
672,ANO3
673,ANO4
674,ANO5
675,ANO6
676,ANO7
677,ANO8
678,ANO9
679,ANP32B
680,ANP32E
681,ANPEP
682,ANTKMT
683,ANTXR1
684,ANTXR2
685,ANTXRL
686,ANXA1
687,ANXA10
688,ANXA11
689,ANXA13
690,ANXA3
691,ANXA4
692,ANXA5
693,ANXA6
694,ANXA7
695,ANXA9
696,AOAH
