method,n,responders,macro_auroc,auroc,auprc,balanced_accuracy,brier,prevalence,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,bootstrap_valid
txn_completed_topvar,213,66,0.6425775884471173,0.735621521335807,0.546075386113918,0.6563079777365491,0.1893627749879166,0.30985915492957744,0.6549724479597361,0.8038626056483199,0.42853912920230486,0.6716999715579541,1000
raw_common_topvar,213,66,0.6530151582649076,0.6939806225520511,0.4812995736186604,0.6382189239332097,0.20784054446126488,0.30985915492957744,0.6159873737559761,0.7672417377589791,0.3807264793104277,0.6067388122534946,1000
hallmark_common,213,66,0.6356380375758925,0.681612038754896,0.4790401705702961,0.6394557823129252,0.24472369272508904,0.30985915492957744,0.6047398273316713,0.7532656081421453,0.375998167858722,0.6008965998653136,1000
txn_completed_hallmark,213,66,0.6370526177241848,0.6642960214388787,0.450906518851878,0.6352813852813852,0.2464640877416803,0.30985915492957744,0.5877577082540021,0.7390563558063558,0.3535957518380965,0.5739292350291944,1000
txn_context_mean,213,66,0.5739095347055588,0.645227788084931,0.4008409122183298,0.48794063079777367,0.31859425337483627,0.30985915492957744,0.570515695985022,0.7187243708672281,0.3145337132174085,0.5070567830221576,1000
txn_hidden_all,213,66,0.5517843824141853,0.4501133786848073,0.26670906645073733,0.45392702535559676,0.2824641429666064,0.30985915492957744,0.3760776706387146,0.522382447947219,0.21336207150032266,0.34340028288837543,1000
