feature,dimensions_for_geometry,cohort_cv_accuracy,cohort_cv_macro_f1,cohort_silhouette,response_silhouette,cohort_eta_squared,response_eta_squared_after_cohort_centering
txn_context_mean,20,1.0,1.0,0.41959327459335327,0.06250576674938202,0.5683444057272539,0.004647667929532857
txn_hidden_all,20,1.0,1.0,0.4330012798309326,0.06278571486473083,0.4522010624872052,0.0035851894140638027
raw_common_topvar,20,1.0,1.0,0.48548269271850586,0.05470242351293564,0.6696228681105837,0.005799089754955733
hallmark_common,20,0.9707112970711297,0.9519209039548023,0.2852768898010254,0.09213859587907791,0.6975637648441413,0.011867525943180841
txn_completed_topvar,20,1.0,1.0,0.4910747706890106,0.05508231744170189,0.674838266958939,0.00604378605269854
