index,model,panel,gene_symbol,mean,std
27803,BRIDGE,5_cancer,TMEM95,1.29498168920798e-06,2.2429740805771458e-06
25418,BRIDGE,5_cancer,RPTOR,1.2949816892070242e-06,2.242974080577935e-06
15339,BRIDGE,5_cancer,AQR,1.2915589042168775e-06,2.2370456430708526e-06
20355,BRIDGE,5_cancer,IGFLR1,1.2913967347943658e-06,2.2367647573923883e-06
14776,BRIDGE,5_cancer,ACTL7B,1.2912845706840818e-06,2.2365704834545946e-06
16375,BRIDGE,5_cancer,CCDC73,1.2907652377536914e-06,2.2356709724331152e-06
14660,BRIDGE,5_cancer,ABHD17A,1.2877948209334954e-06,2.230526059580878e-06
25162,BRIDGE,5_cancer,RILPL1,1.2877517627737618e-06,2.230451480660539e-06
16254,BRIDGE,5_cancer,CATSPER4,1.287694380460499e-06,2.2303520915785127e-06
20241,BRIDGE,5_cancer,HTR1F,1.2870157715481062e-06,2.2291767064637795e-06
15080,BRIDGE,5_cancer,ALKBH1,1.2863488844441476e-06,2.2280216241168103e-06
16274,BRIDGE,5_cancer,CBR3,1.284364240598023e-06,2.224584120139735e-06
27716,BRIDGE,5_cancer,TMEM230,1.2830100124449961e-06,2.222238528174311e-06
27208,BRIDGE,5_cancer,TBATA,1.2829103784291564e-06,2.2220659569967143e-06
19149,BRIDGE,5_cancer,FSTL3,1.280394498825418e-06,2.217708325697313e-06
23422,BRIDGE,5_cancer,PARS2,1.2786990634879062e-06,2.2147717455517952e-06
15292,BRIDGE,5_cancer,APCS,1.2785231931775865e-06,2.214467129238778e-06
23246,BRIDGE,5_cancer,OSBPL9,1.2769707069309301e-06,2.211778144181518e-06
17619,BRIDGE,5_cancer,DBP,1.2740091392645411e-06,2.2066485585132786e-06
23398,BRIDGE,5_cancer,PAQR9,1.2739454774369666e-06,2.2065382929934167e-06
24456,BRIDGE,5_cancer,PRR32,1.273768851096222e-06,2.2062323671972925e-06
15053,BRIDGE,5_cancer,ALDH1B1,1.2736184997408828e-06,2.205971951010858e-06
17708,BRIDGE,5_cancer,DDX4,1.2694268243424334e-06,2.198711756251907e-06
23771,BRIDGE,5_cancer,PHLDA3,1.267948369178663e-06,2.1961509967915438e-06
27425,BRIDGE,5_cancer,TGFBR3L,1.267641555799533e-06,2.195619580430449e-06
19513,BRIDGE,5_cancer,GMPR,1.2667365466936519e-06,2.1940520586777507e-06
27849,BRIDGE,5_cancer,TNFRSF11B,1.2659777238619653e-06,2.192737738979326e-06
24730,BRIDGE,5_cancer,RAB11B,1.264532539226097e-06,2.1902346057636365e-06
26395,BRIDGE,5_cancer,SLIRP,1.2644487467089277e-06,2.190089472866653e-06
25748,BRIDGE,5_cancer,SELENOF,1.2629887140845487e-06,2.18756062218052e-06
24724,BRIDGE,5_cancer,R3HDM1,1.2626439145271734e-06,2.1869634118286167e-06
16142,BRIDGE,5_cancer,CADPS2,1.2578960215907321e-06,2.178739820033906e-06
23346,BRIDGE,5_cancer,PADI6,1.2564362450219168e-06,2.1762114128480654e-06
20125,BRIDGE,5_cancer,HOXB3,1.2553617305437966e-06,2.174350299179446e-06
28849,BRIDGE,5_cancer,WTIP,1.253582735909917e-06,2.1712689900871743e-06
19495,BRIDGE,5_cancer,GLTP,1.2465596861083731e-06,2.1591047110068136e-06
23928,BRIDGE,5_cancer,PLA2G7,1.2393359750952043e-06,2.1465928765128106e-06
16665,BRIDGE,5_cancer,CEL,1.2343901890382434e-06,2.1380265237787886e-06
20213,BRIDGE,5_cancer,HSF5,1.2173023215081533e-06,2.108429469023666e-06
22207,BRIDGE,5_cancer,MRPL42,1.1943039365991384e-06,2.0685950978671096e-06
28256,BRIDGE,5_cancer,TUB,1.1899555628547841e-06,1.8301054219244722e-06
28399,BRIDGE,5_cancer,UBQLN1,1.1859560236323143e-06,2.0541360884735244e-06
26495,BRIDGE,5_cancer,SMU1,1.1798473174163166e-06,2.043555498938905e-06
14950,BRIDGE,5_cancer,AGAP1,1.1693185573279934e-06,2.0253191515252257e-06
20677,BRIDGE,5_cancer,JAK3,1.155776565707836e-06,1.709299737161116e-06
16643,BRIDGE,5_cancer,CDR2L,1.1406737358856168e-06,1.975704865413291e-06
27884,BRIDGE,5_cancer,TNP1,1.1225149754150473e-06,1.9442529696757296e-06
22479,BRIDGE,5_cancer,N4BP2L1,1.1185126877837595e-06,1.937320804151896e-06
20354,BRIDGE,5_cancer,IGFBPL1,1.1024132609752045e-06,1.909435778946743e-06
23970,BRIDGE,5_cancer,PLEK,1.0959365314292803e-06,1.6730139192539738e-06
26486,BRIDGE,5_cancer,SMPD3,1.09489138464551e-06,1.896407506975462e-06
20966,BRIDGE,5_cancer,KLHL1,1.0921731519048815e-06,1.8916993897618672e-06
27291,BRIDGE,5_cancer,TCF23,1.0523669783690723e-06,1.6803433856575214e-06
15854,BRIDGE,5_cancer,BCL6,1.0461846864992884e-06,1.8120450311143655e-06
19806,BRIDGE,5_cancer,GSTO2,1.0426027669844362e-06,1.8058409645285165e-06
