model,panel,mask_seed,fold,auroc,f1,balanced_accuracy
BRIDGE,5_cancer,20260725,1,0.9946569721005811,0.9976470588235294,0.9816712109945193
BRIDGE,5_cancer,20260725,2,0.9995879080446237,0.9961089494163424,0.9614841197421482
BRIDGE,5_cancer,20260725,3,0.9993933511283669,0.9960722702278083,0.9615384615384616
BRIDGE,5_cancer,20260725,4,0.9991711874623267,0.9960474308300395,0.9746081977094635
BRIDGE,5_cancer,20260725,5,0.9899671848942924,0.9953271028037384,0.9639571789768142
