auc_eligible_genes,auprc_macro,auroc_macro,dataset,mae,mask_seed,masked_genes,model,mse,pcc_gene_macro,pcc_global,pcc_sample_macro,reason,samples,spearman_global,status,supported
1346.0,0.8778798211123754,0.8591801697292639,OSDR,0.7489855289459229,20260724,2188.0,Txn_Jatin,1.28396475315094,0.697670581342801,0.8040791847670278,0.7983980590300994,,2099.0,0.7941276108196704,complete,True
1342.0,0.8799524654001954,0.8667764404642458,OSDR,0.7320839762687683,20260725,2188.0,Txn_Jatin,1.2185254096984863,0.6947047636692044,0.8162625336141877,0.8111759397800676,,2099.0,0.8070879705287778,complete,True
1337.0,0.8809889700716341,0.8599665037800464,OSDR,0.7712472081184387,20260723,2188.0,Txn_Jatin,1.421189308166504,0.6922876282996981,0.7864356111875278,0.7806297827471206,,2099.0,0.7760682353444054,complete,True
1581.0,0.8748078658801534,0.9304550235792695,TCGA,0.39199039340019226,20260723,2188.0,Txn_Jatin,0.43943342566490173,0.8056857342410711,0.909091701090284,0.9075320467322903,,3481.0,0.909927021845048,complete,True
1543.0,0.8657755633248184,0.9273013303586668,TCGA,0.38800013065338135,20260724,2188.0,Txn_Jatin,0.4212087392807007,0.8005695031171172,0.9152529422870238,0.9141412973575159,,3481.0,0.9180562695045951,complete,True
1565.0,0.8682928365253688,0.9275232605523356,TCGA,0.40497106313705444,20260725,2188.0,Txn_Jatin,0.47260603308677673,0.800291694255767,0.9019026071246822,0.9004217040021678,,3481.0,0.9066450950719988,complete,True
1346.0,0.8569217909046111,0.8383827224495416,OSDR,0.9225410223007202,20260724,2188.0,BulkFormer_50M,1.5169740915298462,0.6606126818371754,0.7606312488072924,0.7540298285457053,,2099.0,0.749756396681798,complete,True
1342.0,0.8549787891292644,0.8386225522532761,OSDR,0.9058396220207214,20260725,2188.0,BulkFormer_50M,1.4576653242111206,0.6602724006980046,0.7724813466802343,0.768414477299031,,2099.0,0.7626461841196471,complete,True
1337.0,0.8593907707984192,0.8421650301106046,OSDR,0.9571435451507568,20260723,2188.0,BulkFormer_50M,1.6386630535125732,0.6585014924177522,0.744652787265359,0.7394832971977472,,2099.0,0.7337059306929695,complete,True
1581.0,0.8015752913852469,0.855347198531205,TCGA,0.5531639456748962,20260723,2188.0,BulkFormer_50M,0.6106100082397461,0.6656449257009506,0.871990451025076,0.8698450659274096,,3481.0,0.8719798674497857,complete,True
1543.0,0.7819004134125688,0.8462011143027661,TCGA,0.5558148622512817,20260724,2188.0,BulkFormer_50M,0.6226761341094971,0.6510260783741786,0.8729910301849881,0.8711154788295896,,3481.0,0.8759957155588144,complete,True
1565.0,0.7913364728768141,0.8526714246531929,TCGA,0.5441812872886658,20260725,2188.0,BulkFormer_50M,0.5811891555786133,0.6602320623116936,0.877556146667939,0.8756574921414826,,3481.0,0.877375735153603,complete,True
1346.0,0.850848246394135,0.8285437953824495,OSDR,0.9396423101425171,20260724,2188.0,BulkFormer_127M,1.5743615627288818,0.6851153056773368,0.7644178343316863,0.7596411614431661,,2099.0,0.7513624975372386,complete,True
1342.0,0.8476653344341494,0.8340398045302032,OSDR,0.9107693433761597,20260725,2188.0,BulkFormer_127M,1.4697959423065186,0.6803864858819718,0.7820261839562319,0.7776444870384038,,2099.0,0.7703413826172644,complete,True
1337.0,0.8495486814959871,0.8318976456876367,OSDR,0.9920554757118225,20260723,2188.0,BulkFormer_127M,1.755826473236084,0.6820680982291044,0.7436677161888341,0.7371220348448115,,2099.0,0.7314571040343796,complete,True
1581.0,0.8274287969228457,0.8878010508138932,TCGA,0.5013083815574646,20260723,2188.0,BulkFormer_127M,0.5197574496269226,0.7292147639904114,0.8912009149853443,0.8895216404244463,,3481.0,0.8893970325016701,complete,True
1543.0,0.8114014724623144,0.8832709738044489,TCGA,0.508047878742218,20260724,2188.0,BulkFormer_127M,0.5496818423271179,0.7181059517004881,0.8878095562074497,0.886187827576854,,3481.0,0.8888048556531297,complete,True
1565.0,0.8214468713527953,0.8890899447325707,TCGA,0.49818336963653564,20260725,2188.0,BulkFormer_127M,0.5110331177711487,0.7283181317487082,0.8932294377830424,0.8915890017414668,,3481.0,0.8909724086506974,complete,True
1346.0,0.857195318894659,0.8316631267070344,OSDR,0.9715598821640015,20260724,2188.0,BulkFormer_93M,1.6382544040679932,0.6824462441990448,0.7556897381558119,0.7499534595631713,,2099.0,0.7425309737211007,complete,True
1342.0,0.8517330230463338,0.8358165399801322,OSDR,0.9788877367973328,20260725,2188.0,BulkFormer_93M,1.6485252380371094,0.6790519457961376,0.7651285291263988,0.7609224252157861,,2099.0,0.7548396153225114,complete,True
