espresso_auroc,espresso_auprc,raw_auroc,raw_auprc,delta_auroc,delta_auprc
0.7262275449101797,0.31605651842829163,0.7176047904191617,0.2819205951888963,0.008622754491018014,0.03413592323939535
0.6711377245508983,0.24734080702359523,0.6620359281437127,0.23818880780153895,0.009101796407185558,0.009151999222056284
0.6510179640718563,0.23262130551247698,0.6572455089820359,0.25490493313477347,-0.006227544910179628,-0.022283627622296492
0.753053892215569,0.36952568097397903,0.7607185628742515,0.37422444659531473,-0.007664670658682593,-0.004698765621335699
0.7164071856287426,0.3462463811529688,0.7267065868263474,0.3230816738051253,-0.010299401197604752,0.023164707347843483
0.6879041916167664,0.3231340353590575,0.6950898203592814,0.3046060644395151,-0.007185628742514938,0.01852797091954239
0.7317365269461077,0.3412506713590785,0.7204790419161676,0.31052796125696464,0.011257485029940062,0.03072271010211386
0.6402395209580838,0.2526221698609866,0.648622754491018,0.22633997032338932,-0.008383233532934242,0.026282199537597306
0.6974850299401197,0.27861725600677145,0.7063473053892215,0.27707666079855686,-0.008862275449101786,0.0015405952082145902
0.7022754491017964,0.26596297708661026,0.7056287425149701,0.2725670974130302,-0.003353293413173697,-0.006604120326419938
0.587305389221557,0.18735608757227856,0.5923353293413174,0.1865678525872929,-0.005029940119760434,0.0007882349849856751
0.6352095808383234,0.22120156494702414,0.6622754491017964,0.2557770255969022,-0.027065868263473014,-0.03457546064987804
0.7679041916167665,0.32314124740607947,0.7767664670658682,0.318068205167811,-0.008862275449101675,0.005073042238268488
0.7156886227544911,0.23942720806515966,0.7231137724550898,0.24548841512325545,-0.00742514970059871,-0.006061207058095791
0.6946107784431138,0.3474162407537818,0.7044311377245509,0.3711308212343924,-0.009820359281437097,-0.023714580480610592
0.6390419161676648,0.20895016535550057,0.6555688622754491,0.21462391935782013,-0.01652694610778427,-0.005673754002319564
0.6979640718562875,0.2767498747175874,0.7118562874251496,0.3060303884298049,-0.01389221556886211,-0.029280513712217515
0.7154491017964072,0.3831489890564033,0.7319760479041916,0.3996368771794704,-0.01652694610778438,-0.016487888123067063
0.7089820359281437,0.4541912003286383,0.7204790419161676,0.4301717251372597,-0.011497005988023945,0.024019475191378592
0.674251497005988,0.34179142465045637,0.692934131736527,0.3361628189898961,-0.018682634730538994,0.005628605660560282
0.7583233532934132,0.3483198547216169,0.74874251497006,0.34927298708958265,0.009580838323353214,-0.0009531323679657366
0.7077844311377246,0.30581241148556,0.7221556886227545,0.32228307371047615,-0.014371257485029876,-0.016470662224916166
0.675688622754491,0.21282476510538495,0.690059880239521,0.21962597120691368,-0.014371257485029987,-0.006801206101528734
0.7501796407185629,0.3693175649092052,0.7552095808383233,0.3018726159723564,-0.005029940119760434,0.06744494893684883
0.701317365269461,0.2547414345380433,0.7094610778443113,0.2561380593444118,-0.00814371257485036,-0.001396624806368485
0.6275449101796408,0.24537581579029813,0.6589221556886228,0.22761311236617468,-0.03137724550898202,0.01776270342412345
0.7382035928143712,0.44355977548777736,0.7437125748502995,0.40676825867143174,-0.0055089820359283115,0.036791516816345626
0.6023952095808384,0.17674885337458596,0.6136526946107784,0.18760610614969067,-0.011257485029940062,-0.010857252775104714
0.7190419161676647,0.37101753991176273,0.7087425149700599,0.346069762928841,0.010299401197604752,0.02494777698292172
0.6850299401197605,0.4143531087919842,0.6807185628742514,0.43598525087686796,0.004311377245509118,-0.021632142084883732
0.6917365269461078,0.22180117080379108,0.7092215568862276,0.2303121115736269,-0.0174850299401198,-0.008510940769835829
0.6615568862275449,0.22670424538684597,0.6737724550898203,0.2313125914405078,-0.012215568862275372,-0.004608346053661838
0.6701796407185628,0.24917218822305034,0.6778443113772455,0.23353986806909946,-0.007664670658682704,0.015632320153950885
0.6287425149700598,0.20002401337473397,0.6301796407185628,0.20086931536613128,-0.0014371257485029654,-0.0008453019913973181
0.6440718562874251,0.2366777669248666,0.644311377245509,0.2579259267811642,-0.00023952095808388307,-0.021248159856297605
0.572934131736527,0.26701808081089806,0.5827544910179641,0.24144229207188667,-0.009820359281437097,0.025575788739011396
