replicate,macro_auroc,macro_auprc
0,0.44254347355228585,0.363653582428318
1,0.47831380182908745,0.41198938481510006
2,0.5296148444494586,0.387887751587742
3,0.4576503770341475,0.37405345686806746
4,0.4845274887435763,0.3813525646977165
5,0.49923829754998317,0.3974318372835728
6,0.48638203246247014,0.36292273651834994
7,0.4521451071620216,0.39278277625785035
8,0.5776374129823845,0.4614049704415607
9,0.42430543201091153,0.3458080204222838
10,0.46133488963425484,0.38279654355346826
11,0.4845136396903019,0.38909323518832534
12,0.4305697511364902,0.3550311814985762
13,0.45259874501542563,0.37287994354446213
14,0.5424586074216462,0.4334398705217173
15,0.6400960646993056,0.5332618693653836
16,0.5328531409146594,0.45243512346565457
17,0.43781788639581826,0.35305435024934495
18,0.41716843721208074,0.3810887578837808
19,0.51113898248149,0.4137320430534754
20,0.5661317921832038,0.43105729912846774
21,0.5038257557677872,0.40978190152745364
22,0.5386250638213552,0.4600002972505768
23,0.48303408711235307,0.3899804102969629
24,0.5413192877536763,0.4448182646736602
25,0.40425600752404955,0.3452418672424954
26,0.5308206115496041,0.4520529231195518
27,0.4783366816945167,0.3799062964998058
28,0.4630850366222485,0.38772898782542087
29,0.49325394716098026,0.4419495463676272
30,0.5619027640974684,0.47782224941045387
31,0.5438578499543669,0.393504952856451
32,0.5009565654998749,0.42264534959171063
33,0.4231735295415132,0.38380045392482864
34,0.5221990154154789,0.4136548432126376
35,0.4789622123338294,0.3878033078791029
36,0.5484860824246474,0.4290709236029081
37,0.47093400564520677,0.3776898639105051
38,0.44020994423496096,0.36414783621843905
39,0.599809191323767,0.46166844545928243
40,0.43967594661714277,0.39646192720566004
41,0.47752126444387555,0.38232172859836583
42,0.5516297768385974,0.4558740486151258
43,0.5852485299392667,0.44263669000155564
44,0.43564692073713124,0.37725702205681544
45,0.5172608470992199,0.42271468418728464
46,0.44728762404484923,0.36751082241443483
47,0.4982568227379035,0.400109683940691
48,0.4894705430998448,0.4240595831576188
49,0.5845421739831613,0.4725136188947151
50,0.4561166802626041,0.3672279177196972
51,0.49093707829090383,0.41379374588510737
52,0.6431365285232642,0.47750067190735945
53,0.4774066526802077,0.40242296024283997
54,0.6015055963915803,0.5189179019326263
55,0.4153005868310329,0.36924467792083704
56,0.5226858069261177,0.4078980738964729
57,0.5191762019025634,0.4086693312632195
58,0.5696972182928999,0.4843107345287583
59,0.520064380922007,0.43474098459164073
60,0.3757137234354909,0.31645209015242715
61,0.5245912450118096,0.41528560548408133
62,0.5687518124903274,0.46052135252860704
63,0.5295626393041194,0.43105346212665074
64,0.487945633064452,0.4191256374896501
65,0.4937864441633653,0.4060561165836546
66,0.4397845604390041,0.4026123662504951
67,0.5026778346806329,0.4112408466415096
68,0.5567203660995426,0.4638350006585253
69,0.47319321833918393,0.3746604282400098
70,0.5337688236838337,0.4293777640604192
71,0.46534192155433385,0.3734900371633585
72,0.48988866337471415,0.39340431395415787
73,0.5126861215129676,0.4285585368318575
74,0.4907436254579589,0.3994784022322766
75,0.5283527093521246,0.455757101855147
76,0.5398316490281074,0.43482985738624536
77,0.42314104935325286,0.3466587530585893
78,0.47468237123996393,0.4063218288167296
79,0.48050326302498036,0.3661251652682447
80,0.46509302730903135,0.3926341197307829
81,0.4176121176684992,0.3779365976674744
82,0.5619345843765322,0.42558316856562717
83,0.4528769781004161,0.36386029487247346
84,0.5196070276894283,0.42636940606794677
85,0.46428576852482634,0.36759515461571934
86,0.4811744087575194,0.38501379346545317
87,0.44188572940034687,0.37202694468307995
88,0.5318697677336586,0.38842305054562576
89,0.4984350976593292,0.39443746185387685
90,0.5234539909500234,0.42026933071275707
91,0.5218961080544358,0.39289152568235053
92,0.49729360390695176,0.47158947004711715
93,0.48879810918839484,0.40994783324533246
94,0.4979229584036634,0.3706104305615887
95,0.45307092360529544,0.35045107677592613
96,0.48244905501003066,0.3824493788404828
97,0.5702224336944934,0.4735208919539244
98,0.5392701567004106,0.4191307658385937
99,0.46735939052594583,0.39681713770763755
100,0.45682643972299003,0.3785736221510426
101,0.5807932027183197,0.4873076154394816
102,0.5166999514017556,0.4438939991246371
103,0.5479074143781377,0.42575322201055765
