method,n,responders,auroc,auprc,brier,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,delta_auroc_vs_raw,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc_vs_raw,delta_auprc_ci_low,delta_auprc_ci_high
espresso,192,25,0.6943712574850299,0.29248896112129735,0.18870742325473047,0.5757844311377246,0.800251497005988,0.18299352539130465,0.4609864234715731,-0.008971137724550899,-0.02850299401197598,0.011017964071856293,0.005347132705911374,-0.04209507233202189,0.054150104160332176
raw,192,25,0.7032335329341318,0.27745097342287006,0.1740759507472722,0.5853832335329341,0.8064910179640717,0.1843726658182704,0.46452664809708577,0.0,0.0,0.0,0.0,0.0,0.0
